buyout,season,contract_number,ascending,team_id,duration,voided,dollars,relative_dollars,cap_hit_percent,salary,apron_salary,luxury_tax,cash_total,cash_garunteed,contract_season_games_played,contract_season_minutes_per_game,contract_season_points_pg,contract_season_rebounds_pg,contract_season_assists_pg,contract_season_steals_pg,contract_season_blocks_pg,contract_season_turnovers_pg,contract_season_personal_fouls_pg,contract_season_field_goals_made_pg,contract_season_field_goals_attempted_pg,contract_season_three_pointers_made_pg,contract_season_three_pointers_attempted_pg,contract_season_two_pointers_made_pg,contract_season_two_pointers_attempted_pg,contract_season_free_throws_made_pg,contract_season_free_throws_attempted_pg,contract_season_field_goal_pct,contract_season_three_point_pct,contract_season_two_point_pct,contract_season_free_throw_pct,contract_season_assist_percentage,contract_season_assist_to_turnover,contract_season_assist_ratio,contract_season_offensive_rebound_pct,contract_season_defensive_rebound_pct,contract_season_rebound_pct,contract_season_turnover_pct,contract_season_usage_pct,contract_season_offensive_rating,contract_season_defensive_rating,contract_season_net_rating,contract_season_estimated_offensive_rating,contract_season_estimated_defensive_rating,contract_season_estimated_net_rating,contract_season_estimated_pace,contract_season_possessions,contract_season_pts_off_tov,contract_season_pts_fb,contract_season_pts_paint,contract_season_opp_pts_off_tov,contract_season_opp_pts_fb,contract_season_opp_pts_paint,contract_season_plus_minus_pg,previous_season_games_played,previous_season_minutes_per_game,previous_season_points_pg,previous_season_rebounds_pg,previous_season_assists_pg,previous_season_steals_pg,previous_season_blocks_pg,previous_season_turnovers_pg,previous_season_personal_fouls_pg,previous_season_field_goals_made_pg,previous_season_field_goals_attempted_pg,previous_season_three_pointers_made_pg,previous_season_three_pointers_attempted_pg,previous_season_two_pointers_made_pg,previous_season_two_pointers_attempted_pg,previous_season_free_throws_made_pg,previous_season_free_throws_attempted_pg,previous_season_field_goal_pct,previous_season_three_point_pct,previous_season_two_point_pct,previous_season_free_throw_pct,previous_season_assist_percentage,previous_season_assist_to_turnover,previous_season_assist_ratio,previous_season_offensive_rebound_pct,previous_season_defensive_rebound_pct,previous_season_rebound_pct,previous_season_turnover_pct,previous_season_usage_pct,previous_season_offensive_rating,previous_season_defensive_rating,previous_season_net_rating,previous_season_estimated_offensive_rating,previous_season_estimated_defensive_rating,previous_season_estimated_net_rating,previous_season_estimated_pace,previous_season_possessions,previous_season_pts_off_tov,previous_season_pts_fb,previous_season_pts_paint,previous_season_opp_pts_off_tov,previous_season_opp_pts_fb,previous_season_opp_pts_paint,previous_season_plus_minus_pg,height_inches,weight_pounds,country,position,draft_year,draft_round,draft_number,age,games_played,points_pg,rebounds_pg,assists_pg,steals_pg,blocks_pg,turnovers_pg,minutes_per_game,field_goal_pct,three_point_pct,free_throw_pct
False,2025,2,0,10,10,False,6000000,0.04267789569522292,4.27,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,74,1624.0,7.635135135135135,6.581081081081081,1.3108108108108107,0.6216216216216216,0.918918918918919,1.1216216216216217,1.9324324324324325,3.2,6.3,0.35135135135135137,1.3108108108108107,2.824324324324324,5.027027027027027,0.9324324324324325,1.5135135135135136,0.501,0.268,0.5618279569892473,0.616,0.088,1.17,13.9,0.111,0.182,0.145,11.9,0.158,111.2,112.3,-1.0,110.4,111.9,-1.5,96.94,3255,95,57,412,547,467,1630,-0.6351351351351351,55,1141.0,9.236363636363636,5.963636363636364,0.9090909090909091,0.5636363636363636,0.5454545454545454,1.0727272727272728,1.8545454545454545,3.6,7.3,0.5272727272727272,1.9636363636363636,3.036363636363636,5.381818181818182,1.5818181818181818,2.2545454545454544,0.485,0.269,0.5641891891891891,0.702,0.063,0.85,8.8,0.083,0.213,0.144,10.4,0.19,114.0,115.6,-1.6,113.0,114.4,-1.4,99.01,2330,77,63,324,357,356,1198,-0.6727272727272727,80,243,Nigeria,Forward,2020,1.0,20.0,9601,367,7.512261580381471,5.637602179836512,1.0,0.5994550408719346,0.6376021798365122,0.9400544959128065,20.03542234332425,-1189,0.3030973451327434,0.5967741935483871
False,2026,3,1,27,27,False,2111516,0.013653779252103176,1.37,2111516.0,2111516.0,2111516.0,2453285.0,,57,1170.0,6.649122807017544,5.56140350877193,0.9649122807017544,0.8245614035087719,0.7368421052631579,0.7894736842105263,1.4210526315789473,2.9,5.7,0.17543859649122806,0.631578947368421,2.7017543859649122,5.105263157894737,0.7192982456140351,1.2105263157894737,0.502,0.278,0.5292096219931272,0.594,0.065,1.22,12.1,0.084,0.188,0.135,9.9,0.143,110.2,111.4,-1.2,110.3,112.0,-1.8,99.86,2432,81,45,296,452,387,1232,-0.8421052631578947,74,1624.0,7.635135135135135,6.581081081081081,1.3108108108108107,0.6216216216216216,0.918918918918919,1.1216216216216217,1.9324324324324325,3.2,6.3,0.35135135135135137,1.3108108108108107,2.824324324324324,5.027027027027027,0.9324324324324325,1.5135135135135136,0.501,0.268,0.5618279569892473,0.616,0.088,1.17,13.9,0.111,0.182,0.145,11.9,0.158,111.2,112.3,-1.0,110.4,111.9,-1.5,96.94,3255,95,57,412,547,467,1630,-0.6351351351351351,80,243,Nigeria,Forward,2020,1.0,20.0,9966,367,7.512261580381471,5.637602179836512,1.0,0.5994550408719346,0.6376021798365122,0.9400544959128065,20.03542234332425,-1189,0.3030973451327434,0.5967741935483871
False,2016,2,1,27,27,False,981348,0.014019257142857143,1.4,981348.0,981348.0,981348.0,981348.0,981348.0,68,1287.0,5.852941176470588,4.426470588235294,1.0,0.39705882352941174,0.3235294117647059,0.8823529411764706,2.161764705882353,2.2,4.9,0.2647058823529412,0.8823529411764706,1.9705882352941178,3.985294117647059,1.1176470588235294,1.4264705882352942,0.459,0.3,0.4944649446494465,0.784,0.091,1.13,13.5,0.059,0.176,0.116,12.0,0.151,94.6,101.9,-7.3,94.4,102.4,-8.1,93.7,2503,64,41,166,473,299,1032,-3.1029411764705883,63,848.0,2.7142857142857144,3.4285714285714284,0.4444444444444444,0.36507936507936506,0.4126984126984127,0.47619047619047616,1.9365079365079365,1.0,2.2,0.06349206349206349,0.23809523809523808,0.9841269841269841,2.0,0.5555555555555556,0.8412698412698413,0.468,0.267,0.49206349206349204,0.66,0.051,0.93,12.6,0.08,0.167,0.123,13.5,0.099,102.1,108.2,-6.1,102.3,110.0,-7.8,96.29,1702,21,22,102,295,233,728,-2.1587301587301586,79,240,USA,Forward,2012,2.0,37.0,9584,337,4.87240356083086,3.4985163204747773,0.6439169139465876,0.41543026706231456,0.40059347181008903,0.6498516320474778,16.002967359050444,-731,0.34990439770554493,0.7590673575129534
False,2017,3,-1,2,15,False,1790092,0.019014605440659423,1.9,1790092.0,1790092.0,1790092.0,1790092.0,1790092.0,59,876.0,5.203389830508475,3.1864406779661016,0.4576271186440678,0.4915254237288136,0.4067796610169492,0.4576271186440678,1.7457627118644068,2.0,3.6,0.3220338983050847,0.8305084745762712,1.694915254237288,2.7966101694915255,0.847457627118644,1.152542372881356,0.556,0.388,0.6060606060606061,0.735,0.045,1.0,9.1,0.071,0.139,0.104,9.1,0.128,99.2,105.2,-6.0,98.7,106.2,-7.5,101.28,1844,59,47,162,359,286,768,-2.135593220338983,68,1287.0,5.852941176470588,4.426470588235294,1.0,0.39705882352941174,0.3235294117647059,0.8823529411764706,2.161764705882353,2.2,4.9,0.2647058823529412,0.8823529411764706,1.9705882352941178,3.985294117647059,1.1176470588235294,1.4264705882352942,0.459,0.3,0.4944649446494465,0.784,0.091,1.13,13.5,0.059,0.176,0.116,12.0,0.151,94.6,101.9,-7.3,94.4,102.4,-8.1,93.7,2503,64,41,166,473,299,1032,-3.1029411764705883,79,240,USA,Forward,2012,2.0,37.0,9949,337,4.87240356083086,3.4985163204747773,0.6439169139465876,0.41543026706231456,0.40059347181008903,0.6498516320474778,16.002967359050444,-731,0.34990439770554493,0.7590673575129534
True,2017,4,1,15,2,False,1050961,0.011163453469721593,0.0,1050961.0,0.0,0.0,0.0,0.0,59,876.0,5.203389830508475,3.1864406779661016,0.4576271186440678,0.4915254237288136,0.4067796610169492,0.4576271186440678,1.7457627118644068,2.0,3.6,0.3220338983050847,0.8305084745762712,1.694915254237288,2.7966101694915255,0.847457627118644,1.152542372881356,0.556,0.388,0.6060606060606061,0.735,0.045,1.0,9.1,0.071,0.139,0.104,9.1,0.128,99.2,105.2,-6.0,98.7,106.2,-7.5,101.28,1844,59,47,162,359,286,768,-2.135593220338983,68,1287.0,5.852941176470588,4.426470588235294,1.0,0.39705882352941174,0.3235294117647059,0.8823529411764706,2.161764705882353,2.2,4.9,0.2647058823529412,0.8823529411764706,1.9705882352941178,3.985294117647059,1.1176470588235294,1.4264705882352942,0.459,0.3,0.4944649446494465,0.784,0.091,1.13,13.5,0.059,0.176,0.116,12.0,0.151,94.6,101.9,-7.3,94.4,102.4,-8.1,93.7,2503,64,41,166,473,299,1032,-3.1029411764705883,79,240,USA,Forward,2012,2.0,37.0,9949,337,4.87240356083086,3.4985163204747773,0.6439169139465876,0.41543026706231456,0.40059347181008903,0.6498516320474778,16.002967359050444,-731,0.34990439770554493,0.7590673575129534
True,2019,5,-1,25,25,False,85458,0.0008389009414051379,0.0,85458.0,0.0,0.0,0.0,0.0,70,1359.0,5.871428571428571,3.6714285714285713,0.8142857142857143,0.4714285714285714,0.4142857142857143,0.8571428571428571,2.1285714285714286,1.9,5.2,1.457142857142857,4.171428571428572,0.4,1.042857142857143,0.7,0.8571428571428571,0.356,0.349,0.3835616438356164,0.817,0.061,0.95,11.2,0.028,0.153,0.091,11.7,0.143,104.8,106.7,-1.9,105.2,108.1,-2.9,100.02,2856,59,21,42,488,295,1184,-0.8142857142857143,38,558.0,5.842105263157895,3.026315789473684,0.47368421052631576,0.3684210526315789,0.39473684210526316,0.5526315789473685,1.763157894736842,1.8,4.5,0.9736842105263158,2.3684210526315788,0.868421052631579,2.1052631578947367,1.1842105263157894,1.5789473684210527,0.412,0.411,0.4125,0.75,0.053,0.86,7.7,0.034,0.168,0.1,8.9,0.165,103.0,107.1,-4.1,102.1,106.9,-4.8,101.12,1174,38,6,54,181,157,438,-1.0,79,240,USA,Forward,2012,2.0,37.0,10679,337,4.87240356083086,3.4985163204747773,0.6439169139465876,0.41543026706231456,0.40059347181008903,0.6498516320474778,16.002967359050444,-731,0.34990439770554493,0.7590673575129534
False,2018,2,1,24,24,False,22471910,0.22677595793850222,22.68,22471910.0,22471910.0,22471910.0,22471910.0,22471910.0,80,2389.0,11.3125,7.6625,1.075,1.1125,0.975,1.825,2.4375,4.7,8.2,0.0,0.0125,4.675,8.175,1.9625,3.2125,0.571,0.0,0.5718654434250765,0.611,0.054,0.59,8.6,0.11,0.136,0.122,14.6,0.159,109.2,104.9,4.2,106.6,103.9,2.8,101.16,4944,97,80,742,824,526,2246,2.4375,80,2014.0,7.95,6.6625,0.775,0.525,1.1125,1.05,2.7875,3.3,5.3,0.0,0.0,3.2625,5.325,1.425,2.45,0.613,0.0,0.6126760563380281,0.582,0.042,0.74,9.5,0.109,0.142,0.126,12.8,0.125,111.8,99.9,11.9,110.1,99.0,11.1,99.13,4105,74,42,510,667,542,1788,5.975,83,265,New Zealand,Center,2013,1.0,12.0,9296,796,8.706030150753769,8.02889447236181,1.4987437185929648,0.8391959798994975,0.9082914572864321,1.4045226130653266,25.71356783919598,-2051,0.058823529411764705,0.5343891402714932
False,2022,3,1,21,23,False,17073171,0.15187762200437668,15.19,17073171.0,17073171.0,17073171.0,17073171.0,17073171.0,58,1604.0,7.551724137931035,8.862068965517242,1.9137931034482758,0.9310344827586207,0.6551724137931034,1.3448275862068966,1.9482758620689655,3.3,5.3,0.0,0.05172413793103448,3.2586206896551726,5.258620689655173,1.0344827586206897,2.3275862068965516,0.614,0.0,0.6196721311475409,0.444,0.088,1.42,19.8,0.132,0.187,0.16,13.9,0.118,114.9,115.0,-0.1,113.2,114.4,-1.2,100.06,3320,29,26,374,609,427,1538,0.25862068965517243,63,1681.0,10.857142857142858,9.253968253968255,2.3174603174603177,0.8095238095238095,1.0634920634920635,1.492063492063492,1.9365079365079365,4.5,7.6,0.015873015873015872,0.047619047619047616,4.476190476190476,7.5396825396825395,1.8571428571428572,3.1904761904761907,0.592,0.333,0.5936842105263158,0.582,0.128,1.55,18.1,0.128,0.214,0.173,11.6,0.168,111.2,106.7,4.4,112.3,107.3,4.9,99.86,3520,76,28,558,556,342,1672,2.365079365079365,83,265,New Zealand,Center,2013,1.0,12.0,10757,796,8.706030150753769,8.02889447236181,1.4987437185929648,0.8391959798994975,0.9082914572864321,1.4045226130653266,25.71356783919598,-2051,0.058823529411764705,0.5343891402714932
False,2024,4,0,18,21,False,12600000,0.0926327552363238,9.26,12600000.0,12600000.0,12600000.0,12600000.0,12600000.0,42,1133.0,8.595238095238095,11.547619047619047,2.3095238095238093,0.8571428571428571,1.0952380952380953,1.880952380952381,2.3333333333333335,3.7,6.3,0.0,0.023809523809523808,3.738095238095238,6.238095238095238,1.119047619047619,3.0714285714285716,0.597,0.0,0.5992366412213741,0.364,0.107,1.23,19.6,0.171,0.222,0.196,16.0,0.139,118.7,109.0,9.7,115.5,107.4,8.1,103.44,2396,32,26,314,316,302,1120,5.785714285714286,76,1999.0,6.947368421052632,10.0,3.3684210526315788,0.8552631578947368,0.7894736842105263,1.513157894736842,2.013157894736842,2.8,5.1,0.0,0.013157894736842105,2.763157894736842,5.0394736842105265,1.4210526315789473,2.6184210526315788,0.547,0.0,0.5483028720626631,0.543,0.155,2.23,30.5,0.159,0.198,0.178,13.7,0.118,117.8,109.5,8.3,115.1,108.3,6.8,101.33,4150,57,9,414,600,551,1952,4.644736842105263,83,265,New Zealand,Center,2013,1.0,12.0,11488,796,8.706030150753769,8.02889447236181,1.4987437185929648,0.8391959798994975,0.9082914572864321,1.4045226130653266,25.71356783919598,-2051,0.058823529411764705,0.5343891402714932
False,2022,2,1,8,8,False,28103500,0.25,25.0,28103500.0,28103500.0,28103500.0,28103500.0,28103500.0,64,2143.0,18.703125,8.953125,5.40625,1.171875,1.03125,2.640625,2.265625,7.1,12.5,0.03125,0.125,7.09375,12.375,4.421875,5.53125,0.57,0.25,0.5732323232323232,0.799,0.267,2.05,23.6,0.07,0.204,0.139,11.5,0.233,110.2,109.6,0.6,109.8,108.7,1.1,98.29,4361,180,75,764,740,461,1864,0.375,72,2417.0,15.916666666666666,10.208333333333334,5.111111111111111,1.1388888888888888,1.2916666666666667,2.8333333333333335,2.5277777777777777,6.1,11.0,0.027777777777777776,0.19444444444444445,6.083333333333333,10.777777777777779,3.6666666666666665,5.305555555555555,0.557,0.143,0.5644329896907216,0.691,0.238,1.8,24.0,0.077,0.224,0.153,13.3,0.212,112.6,107.7,5.0,111.2,106.8,4.4,99.41,4952,136,72,834,842,536,2174,3.388888888888889,81,255,USA,Center-Forward,2017,1.0,14.0,9298,614,15.929967426710098,8.933224755700326,3.54071661237785,1.0684039087947883,0.8452768729641694,2.1237785016286646,30.656351791530945,-3341,0.32541133455210236,0.7584369449378331
