,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,SAC  SAC,24-58,13.0,23.9,"$36,652,311","$21,391,689","$36,583,409","$17,025,610","$68,902"
1,2.0,IND  IND,37-45,14.0,25.8,"$44,413,746","$13,630,254","$44,413,746","$25,015,904",-
2,3.0,HOU  HOU,43-39,14.0,25.3,"$49,625,800","$8,418,200","$43,444,237","$27,111,633","$6,181,563"
3,4.0,CLE  CLE,19-63,15.0,25.9,"$50,463,174","$7,580,826","$47,995,047","$28,456,715","$2,468,127"
4,5.0,NJN  NJN,-,15.0,25.5,"$51,922,417","$6,121,583","$51,444,863","$28,359,805","$477,554"
5,6.0,TOR  TOR,22-60,13.0,25.5,"$53,148,082","$4,895,918","$50,693,030","$26,630,992","$2,455,052"
6,7.0,MIN  MIN,17-65,15.0,24.1,"$55,406,532","$2,637,468","$55,406,532","$15,081,926",-
7,8.0,GSW  GSW,36-46,15.0,24.9,"$56,742,440","$1,301,560","$56,293,485","$31,610,000","$448,955"
8,9.0,DEN  DEN,50-32,15.0,25.9,"$57,150,022","$893,978","$52,473,071","$21,783,928","$4,676,951"
9,10.0,UTA  UTA,39-43,15.0,26.1,"$58,183,391","$-139,391","$58,114,489","$31,422,435","$68,902"
10,11.0,NOH  NOH,-,13.0,25.2,"$58,480,742","$-436,742","$54,728,645","$32,934,939","$3,752,097"
11,12.0,OKC  OKC,55-27,15.0,26.2,"$61,831,253","$-3,787,253","$56,856,253","$27,712,673","$4,975,000"
12,13.0,NYK  NYK,42-40,16.0,27.2,"$62,224,804","$-4,180,804","$60,549,804","$49,844,117","$1,675,000"
13,14.0,PHX  PHX,40-42,13.0,28.5,"$64,909,904","$-6,865,904","$56,292,681","$24,979,702","$8,617,223"
14,15.0,PHI  PHI,41-41,12.0,24.2,"$65,086,919","$-7,042,919","$57,855,224","$38,069,737","$7,231,695"
15,16.0,CHA  CHA,-,16.0,26.2,"$65,611,373","$-7,567,373","$57,917,825","$27,067,834","$7,693,548"
16,17.0,POR  POR,48-34,14.0,27.5,"$66,140,347","$-8,096,347","$52,595,520","$31,003,500","$13,544,827"
17,18.0,DET  DET,30-52,14.0,26.3,"$66,303,080","$-8,259,080","$57,872,787","$27,640,000","$8,430,293"
18,19.0,MIL  MIL,35-47,15.0,26.3,"$66,354,411","$-8,310,411","$65,940,004","$27,425,400","$414,407"
19,20.0,MEM  MEM,46-36,16.0,25.5,"$67,958,273","$-9,914,273","$67,634,641","$40,221,237","$323,632"
20,21.0,WAS  WAS,23-59,16.0,24.5,"$68,146,670","$-10,102,670","$66,701,673","$40,927,271","$1,444,997"
21,22.0,ORL  ORL,52-30,16.0,26.5,"$69,263,593","$-11,219,593","$68,849,150","$37,707,620","$414,443"
22,23.0,LAC  LAC,32-50,15.0,26.9,"$69,573,889","$-11,529,889","$68,291,339","$34,939,209","$1,282,550"
23,24.0,CHI  CHI,62-20,16.0,29.0,"$70,787,864","$-12,743,864","$68,705,989","$37,825,000","$2,081,875"
24,25.0,ATL  ATL,44-38,15.0,28.6,"$71,683,612","$-13,639,612","$71,453,928","$42,438,573","$229,684"
25,26.0,SAS  SAS,61-21,15.0,26.7,"$73,774,561","$-15,730,561","$70,554,725","$46,645,657","$3,219,836"
26,27.0,DAL  DAL,57-25,14.0,29.5,"$75,210,420","$-17,166,420","$74,325,300","$40,651,373","$885,120"
27,28.0,BOS  BOS,56-26,17.0,28.3,"$76,544,614","$-18,500,614","$76,053,505","$46,625,833","$491,109"
28,29.0,MIA  MIA,58-24,14.0,28.6,"$78,613,056","$-20,569,056","$72,439,844","$47,557,000","$6,173,212"
29,30.0,LAL  LAL,57-25,12.0,27.3,"$81,659,758","$-23,615,758","$81,371,048","$58,858,643","$288,710"
30,,Totals,-,438.0,-,"$1,893,867,058","$-152,547,058","$1,803,851,794","$1,013,574,266","$90,015,264"
31,,Averages,-,14.6,26.4,"$63,128,902","$-5,084,902","$60,128,393","$33,785,809","$3,000,509"
