,Rank,Team,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Cap Space  Projected Practical,Active,Active  Top 3,Dead  Cap
0,1.0,LAC  LAC,0.0,0.0,"$46,430,818","$145,735,182","$173,185,840",-,-,-
1,2.0,GSW  GSW,0.0,0.0,"$57,985,514","$134,180,486","$173,185,840",-,-,-
2,3.0,DET  DET,1.0,28.0,"$88,818,428","$103,347,572","$173,185,840","$61,240,212","$61,240,212",-
3,4.0,SAC  SAC,1.0,29.0,"$94,119,023","$98,046,977","$173,185,840","$29,931,033","$29,931,033",-
4,5.0,MIL  MIL,1.0,30.0,"$96,044,423","$96,121,577","$173,185,840","$12,455,355","$12,455,355","$22,516,603"
5,6.0,POR  POR,2.0,27.5,"$98,878,692","$93,287,308","$173,185,840","$47,330,355","$47,330,355",-
6,7.0,MEM  MEM,1.0,30.0,"$101,305,011","$90,860,989","$173,185,840","$53,500,000","$53,500,000",-
7,8.0,LAL  LAL,0.0,0.0,"$106,211,857","$85,954,143","$173,185,840",-,-,-
8,9.0,HOU  HOU,2.0,26.5,"$108,643,099","$83,522,901","$173,185,840","$64,571,580","$64,571,580",-
9,10.0,CHI  CHI,0.0,0.0,"$113,878,294","$78,287,706","$173,185,840",-,-,-
10,11.0,BKN  BKN,0.0,0.0,"$119,417,316","$72,748,684","$173,185,840",-,-,-
11,12.0,MIA  MIA,1.0,26.0,"$133,731,417","$58,434,583","$173,185,840","$16,200,000","$16,200,000",-
12,13.0,DAL  DAL,1.0,31.0,"$136,806,774","$55,359,226","$173,185,840","$24,568,176","$24,568,176",-
13,14.0,WAS  WAS,0.0,0.0,"$145,714,341","$46,451,659","$173,185,840",-,-,-
14,15.0,ATL  ATL,2.0,27.0,"$145,824,796","$46,341,204","$173,185,840","$55,000,000","$55,000,000",-
15,16.0,CHA  CHA,0.0,0.0,"$147,191,992","$44,974,008","$173,185,840",-,-,-
16,17.0,IND  IND,0.0,0.0,"$149,152,339","$43,013,661","$173,185,840",-,-,-
17,18.0,UTA  UTA,0.0,0.0,"$156,404,652","$35,761,348","$173,185,840",-,-,-
18,19.0,PHX  PHX,1.0,33.0,"$162,126,893","$30,039,107","$173,185,840","$69,191,227","$69,191,227","$22,490,153"
19,20.0,CLE  CLE,1.0,28.0,"$167,592,951","$24,573,049","$173,185,840","$61,240,212","$61,240,212",-
20,21.0,NOP  NOP,1.0,31.0,"$170,298,590","$21,867,410","$173,185,840","$24,195,628","$24,195,628",-
21,22.0,TOR  TOR,2.0,31.0,"$181,827,733","$10,338,267","$173,185,840","$78,333,510","$78,333,510",-
22,23.0,DEN  DEN,1.0,28.0,"$198,667,676","$-6,501,676","$173,185,840","$26,724,137","$26,724,137",-
23,24.0,NYK  NYK,1.0,33.0,"$199,308,653","$-7,142,653","$173,185,840","$41,517,856","$41,517,856",-
24,25.0,SAS  SAS,1.0,32.0,"$204,298,582","$-12,132,582","$173,185,840","$61,752,000","$61,752,000",-
25,26.0,PHI  PHI,0.0,0.0,"$211,953,433","$-19,787,433","$173,185,840",-,-,-
26,27.0,MIN  MIN,1.0,30.0,"$216,257,391","$-24,091,391","$173,185,840","$28,448,276","$28,448,276",-
27,28.0,OKC  OKC,3.0,28.7,"$263,541,850","$-71,375,850","$173,185,840","$173,685,800","$173,685,800",-
28,29.0,BOS  BOS,1.0,31.0,"$267,332,633","$-75,166,633","$173,185,840","$71,446,914","$71,446,914",-
29,30.0,ORL  ORL,3.0,27.7,"$296,372,817","$-104,206,817","$173,185,840","$129,193,510","$129,193,510",-
30,,Totals,28.0,-,"$4,586,137,988","$1,178,842,012",-,"$1,130,525,781","$1,130,525,781","$45,006,756"
31,,Averages,0.9,19.6,"$152,871,266","$39,294,734",-,"$37,684,193","$37,684,193","$1,500,225"
