,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,UTA  UTA,37-45,15.0,23.8,"$131,757,411","$4,263,589","$123,547,474","$66,352,629","$8,209,937"
1,2.0,DET  DET,17-65,15.0,24.4,"$136,419,412","$-398,412","$84,251,419","$42,031,943","$52,167,993"
2,3.0,ORL  ORL,34-48,15.0,24.6,"$139,355,784","$-3,334,784","$130,964,229","$47,450,000",-
3,4.0,SAS  SAS,22-60,15.0,22.9,"$140,908,582","$-4,887,582","$94,551,623","$44,260,680","$46,356,959"
4,5.0,CHA  CHA,27-55,15.0,24.2,"$141,036,011","$-5,015,011","$97,074,991","$40,305,635","$40,357,482"
5,6.0,HOU  HOU,22-60,15.0,26.2,"$145,302,009","$-9,281,009","$143,402,009","$76,033,971","$1,900,000"
6,7.0,IND  IND,35-47,15.0,25.1,"$146,679,278","$-10,658,278","$127,076,533","$72,868,408","$17,800,976"
7,8.0,SAC  SAC,48-34,15.0,26.2,"$148,693,550","$-12,672,550","$145,124,481","$78,900,060","$3,569,069"
8,9.0,ATL  ATL,41-41,15.0,25.3,"$156,139,798","$-20,118,798","$149,336,848","$80,769,506","$6,802,950"
9,10.0,BKN  BKN,45-37,15.0,24.3,"$157,982,129","$-21,961,129","$139,773,430","$84,049,930","$11,947,602"
10,11.0,OKC  OKC,40-42,15.0,24.7,"$160,502,705","$-24,481,705","$127,645,232","$81,984,025","$32,857,473"
11,12.0,TOR  TOR,41-41,15.0,25.9,"$161,887,358","$-25,866,358","$138,558,316","$65,383,929","$21,309,336"
12,13.0,NYK  NYK,47-35,15.0,26.4,"$162,956,334","$-26,935,334","$160,343,147","$73,290,506","$2,613,187"
13,14.0,MEM  MEM,51-31,15.0,25.2,"$162,996,801","$-26,975,801","$135,440,708","$79,941,165","$25,754,324"
14,15.0,CHI  CHI,40-42,15.0,26.3,"$166,348,969","$-30,327,969","$162,193,482","$89,129,337","$2,135,781"
15,16.0,CLE  CLE,51-31,15.0,26.1,"$168,250,835","$-32,229,835","$160,092,854","$87,167,280","$4,118,569"
16,17.0,POR  POR,33-49,15.0,23.9,"$171,538,887","$-35,517,887","$157,605,999","$84,152,788","$6,289,938"
17,18.0,DAL  DAL,38-44,15.0,25.6,"$175,321,021","$-39,300,021","$162,282,786","$95,998,985","$2,348,324"
18,19.0,NOP  NOP,42-40,15.0,25.7,"$176,969,502","$-40,948,502","$164,656,924","$103,641,119","$244,761"
19,20.0,MIA  MIA,44-38,15.0,27.3,"$180,754,950","$-44,733,950","$172,894,063","$104,784,020","$1,801,769"
20,21.0,PHI  PHI,54-28,15.0,27.6,"$181,909,301","$-45,888,301","$161,970,318","$106,722,598","$2,567,931"
21,22.0,LAL  LAL,43-39,15.0,25.9,"$181,975,999","$-45,954,999","$168,055,994","$105,515,123",-
22,23.0,DEN  DEN,53-29,15.0,26.3,"$184,751,085","$-48,730,085","$176,890,198","$114,827,600",-
23,24.0,MIL  MIL,58-24,15.0,27.9,"$188,285,708","$-52,264,708","$182,226,590","$120,601,156",-
24,25.0,BOS  BOS,57-25,15.0,26.1,"$188,759,360","$-52,738,360","$184,845,028","$106,236,607","$92,857"
25,26.0,WAS  WAS,35-47,15.0,24.3,"$189,901,033","$-53,880,033","$132,379,717","$67,023,539","$15,838,877"
26,27.0,PHX  PHX,45-37,16.0,28.3,"$195,220,617","$-59,199,617","$188,290,459","$130,407,223","$3,040,870"
27,28.0,MIN  MIN,42-40,15.0,25.6,"$198,497,741","$-62,476,741","$164,180,564","$101,376,200","$348,225"
28,29.0,LAC  LAC,44-38,15.0,28.4,"$202,080,521","$-66,059,521","$198,296,474","$126,960,763","$1,764,341"
29,30.0,GSW  GSW,44-38,15.0,26.9,"$224,848,124","$-88,827,124","$206,814,776","$125,935,055",-
30,,Totals,-,451.0,-,"$5,068,030,815","$-987,400,815","$4,540,766,666","$2,604,101,780","$312,239,531"
31,,Averages,-,15.0,25.7,"$168,934,361","$-32,913,361","$151,358,889","$86,803,393","$10,407,984"
