,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,BKN  BKN,12-31,15.0,23.7,"$139,371,992","$15,275,008","$130,865,548","$79,185,322","$8,506,444"
1,2.0,UTA  UTA,15-31,15.0,25.4,"$144,085,751","$10,561,249","$133,434,190","$74,988,612","$10,651,561"
2,3.0,MEM  MEM,18-25,15.0,25.4,"$172,035,195","$-17,388,195","$167,343,265","$96,067,590","$4,691,930"
3,4.0,CHA  CHA,18-28,15.0,24.8,"$175,744,261","$-21,097,261","$168,441,033","$81,933,760","$5,006,954"
4,5.0,DET  DET,32-11,15.0,25.4,"$175,892,037","$-21,245,037","$168,692,037","$89,862,938",-
5,6.0,MIL  MIL,18-26,15.0,27.6,"$176,378,562","$-21,731,562","$148,943,641","$101,855,306","$27,434,921"
6,7.0,CHI  CHI,23-22,15.0,25.0,"$178,868,402","$-24,221,402","$174,275,854","$64,561,977",-
7,8.0,SAS  SAS,31-14,15.0,25.9,"$182,234,835","$-27,587,835","$182,234,835","$83,096,620",-
8,9.0,IND  IND,11-35,16.0,25.6,"$186,537,367","$-31,890,367","$178,016,407","$109,203,024","$4,176,192"
9,10.0,ATL  ATL,22-25,15.0,25.0,"$187,508,017","$-32,861,017","$180,866,975","$91,398,373",-
10,11.0,OKC  OKC,37-9,15.0,24.7,"$188,926,058","$-34,279,058","$186,877,564","$85,055,272",-
11,12.0,TOR  TOR,28-19,14.0,25.2,"$196,622,023","$-41,975,023","$188,430,978","$109,256,988","$194,771"
12,13.0,POR  POR,23-23,15.0,25.5,"$197,113,678","$-42,466,678","$160,556,802","$78,775,001","$25,818,846"
13,14.0,MIA  MIA,24-22,14.0,25.8,"$197,533,487","$-42,886,487","$186,052,117","$96,319,835",-
14,15.0,ORL  ORL,23-21,14.0,24.7,"$199,864,494","$-45,217,494","$193,471,232","$110,387,420",-
15,16.0,PHI  PHI,24-20,14.0,26.9,"$201,041,989","$-46,394,989","$194,633,727","$144,849,376","$15,000"
16,17.0,HOU  HOU,27-16,14.0,27.8,"$201,330,454","$-46,683,454","$194,689,412","$113,653,563",-
17,18.0,DEN  DEN,31-15,14.0,26.5,"$201,826,923","$-47,179,923","$188,297,059","$124,460,081",-
18,19.0,WAS  WAS,10-34,14.0,23.5,"$203,171,397","$-48,524,397","$136,703,155","$91,498,636","$21,137,593"
19,20.0,LAC  LAC,20-24,15.0,29.3,"$203,736,310","$-49,089,310","$194,798,994","$115,762,693",-
20,21.0,NOP  NOP,11-36,15.0,25.2,"$205,718,447","$-51,071,447","$185,922,113","$102,095,408","$70,732"
21,22.0,BOS  BOS,28-17,14.0,26.0,"$206,622,531","$-51,975,531","$199,981,489","$135,368,714",-
22,23.0,PHX  PHX,27-18,14.0,26.0,"$207,850,741","$-53,203,741","$164,723,837","$107,850,873","$23,197,051"
23,24.0,NYK  NYK,27-18,14.0,26.5,"$209,971,916","$-55,324,916","$207,675,642","$127,655,231",-
24,25.0,SAC  SAC,12-34,15.0,28.1,"$210,850,217","$-56,203,217","$184,664,407","$114,585,660",-
25,26.0,LAL  LAL,27-17,14.0,26.7,"$211,041,693","$-56,394,693","$194,820,805","$116,886,072","$146,970"
26,27.0,DAL  DAL,19-27,15.0,26.9,"$220,685,106","$-66,038,106","$201,537,232","$107,359,119","$3,343,186"
27,28.0,GSW  GSW,25-21,15.0,28.8,"$236,204,887","$-81,557,887","$207,096,665","$139,626,124",-
28,29.0,MIN  MIN,27-18,14.0,26.4,"$237,379,633","$-82,732,633","$202,580,977","$111,414,710",-
29,30.0,CLE  CLE,27-20,14.0,26.5,"$242,361,804","$-87,714,804","$228,159,488","$132,234,290","$424,672"
30,,Totals,-,438.0,-,"$5,898,510,207","$-1,259,100,207","$5,434,787,480","$3,137,248,588","$134,816,823"
31,,Averages,-,14.6,26.0,"$196,617,007","$-41,970,007","$181,159,583","$104,574,953","$4,493,894"
