,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,NYK  NYK,21-45,15.0,25.4,"$101,969,879","$7,170,121","$81,511,334","$36,704,687","$20,458,545"
1,2.0,OKC  OKC,44-28,15.0,22.9,"$104,570,165","$4,569,835","$58,973,451","$35,511,690","$36,223,064"
2,3.0,SAC  SAC,31-41,15.0,24.2,"$106,822,079","$2,317,921","$93,805,708","$56,187,760","$11,395,807"
3,4.0,CHA  CHA,23-42,15.0,24.3,"$107,134,070","$2,005,930","$98,277,101","$62,815,730","$8,856,969"
4,5.0,DET  DET,20-46,15.0,23.8,"$115,013,466","$-5,873,466","$76,325,187","$39,650,000","$38,688,279"
5,6.0,ATL  ATL,20-47,15.0,25.2,"$116,695,055","$-7,555,055","$115,950,371","$55,000,000","$744,684"
6,7.0,ORL  ORL,33-40,15.0,24.3,"$118,898,403","$-9,758,403","$109,369,134","$61,149,952","$4,842,444"
7,8.0,DAL  DAL,43-32,15.0,26.2,"$125,815,404","$-16,675,404","$124,194,840","$61,456,500","$1,620,564"
8,9.0,CLE  CLE,19-46,15.0,24.5,"$126,527,288","$-17,387,288","$95,788,697","$55,217,347","$30,738,591"
9,10.0,CHI  CHI,22-43,15.0,26.0,"$128,065,350","$-18,925,350","$127,968,089","$59,045,000","$97,261"
10,11.0,IND  IND,45-28,15.0,25.7,"$129,005,732","$-19,865,732","$125,044,311","$58,500,000","$3,961,421"
11,12.0,HOU  HOU,44-28,15.0,26.0,"$129,533,390","$-20,393,390","$121,883,222","$71,140,070","$6,204,471"
12,13.0,PHX  PHX,34-39,15.0,26.4,"$130,285,572","$-21,145,572","$126,329,911","$80,844,814","$785,285"
13,14.0,BOS  BOS,48-24,15.0,24.4,"$130,767,745","$-21,627,745","$127,473,888","$75,266,600","$3,293,857"
14,15.0,DEN  DEN,46-27,15.0,25.9,"$131,820,534","$-22,680,534","$126,468,408","$74,963,374","$2,110,998"
15,16.0,NOP  NOP,30-42,15.0,24.5,"$132,616,252","$-23,476,252","$131,561,774","$73,752,695","$1,054,478"
16,17.0,MIL  MIL,56-17,15.0,27.3,"$133,224,345","$-24,084,345","$126,409,299","$87,605,923","$6,815,046"
17,18.0,MEM  MEM,34-39,15.0,23.9,"$134,245,326","$-25,105,326","$96,358,089","$39,400,000","$34,646,109"
18,19.0,POR  POR,35-39,14.0,25.6,"$135,448,164","$-26,308,164","$125,356,909","$73,869,994","$4,979,771"
19,20.0,MIA  MIA,44-29,15.0,27.9,"$135,572,405","$-26,432,405","$126,766,607","$73,379,100","$5,564,670"
20,21.0,LAC  LAC,49-23,15.0,27.8,"$137,405,301","$-28,265,301","$137,010,779","$84,713,233","$394,522"
21,22.0,LAL  LAL,52-19,15.0,28.2,"$138,544,305","$-29,404,305","$129,324,500","$87,961,566","$7,599,241"
22,23.0,UTA  UTA,44-28,15.0,26.9,"$138,998,838","$-29,858,838","$135,162,144","$79,877,413","$770,433"
23,24.0,TOR  TOR,53-19,15.0,26.1,"$143,726,386","$-34,586,386","$121,179,805","$82,309,200","$6,941,074"
24,25.0,PHI  PHI,43-30,15.0,26.9,"$147,787,869","$-38,647,869","$144,302,328","$94,460,060","$1,864,977"
25,26.0,SAS  SAS,32-39,15.0,25.2,"$150,150,620","$-41,010,620","$103,942,196","$56,525,975","$24,804,677"
26,27.0,MIN  MIN,19-45,14.0,23.6,"$159,195,461","$-50,055,461","$128,979,723","$75,117,050","$685,340"
27,28.0,WAS  WAS,25-47,15.0,25.7,"$160,772,292","$-51,632,292","$125,335,449","$85,110,588","$4,333,813"
28,29.0,BKN  BKN,35-37,15.0,27.3,"$168,550,487","$-59,410,487","$164,541,070","$115,086,720","$2,388,853"
29,30.0,GSW  GSW,15-50,15.0,25.6,"$175,825,052","$-66,685,052","$168,454,133","$107,909,732","$888,663"
30,,Totals,-,448.0,-,"$3,994,987,235","$-720,787,235","$3,574,048,457","$2,100,532,773","$273,753,907"
31,,Averages,-,14.9,25.6,"$133,166,241","$-24,026,241","$119,134,949","$70,017,759","$9,125,130"
