,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,NYK  NYK,17-65,15.0,24.1,"$110,055,762","$-915,762","$100,072,995","$44,011,236","$9,982,767"
1,2.0,ATL  ATL,29-53,15.0,24.9,"$112,342,555","$-3,202,555","$82,576,351","$47,229,886","$29,766,204"
2,3.0,CHI  CHI,22-60,15.0,24.2,"$113,208,742","$-4,068,742","$111,720,511","$59,650,575","$1,488,231"
3,4.0,IND  IND,48-34,15.0,24.9,"$114,591,944","$-5,451,944","$112,346,544","$59,000,000","$2,245,400"
4,5.0,SAC  SAC,39-43,15.0,25.6,"$116,865,503","$-7,725,503","$112,819,088","$55,417,389","$4,046,415"
5,6.0,NOP  NOP,33-49,16.0,25.1,"$117,626,046","$-8,486,046","$117,626,046","$57,367,411",-
6,7.0,BOS  BOS,49-33,15.0,24.6,"$119,147,447","$-10,007,447","$117,600,096","$77,996,161","$1,547,351"
7,8.0,PHX  PHX,19-63,15.0,24.1,"$121,137,310","$-11,997,310","$98,370,262","$59,110,000","$22,767,048"
8,9.0,LAL  LAL,37-45,15.0,28.4,"$122,723,507","$-13,583,507","$107,807,481","$79,164,023","$10,149,026"
9,10.0,UTA  UTA,50-32,15.0,25.7,"$127,212,555","$-18,072,555","$118,918,091","$74,520,050","$8,294,464"
10,11.0,CHA  CHA,39-43,13.0,24.0,"$127,312,849","$-18,172,849","$96,229,541","$62,459,954","$26,402,494"
11,12.0,BKN  BKN,42-40,16.0,25.8,"$128,264,668","$-19,124,668","$94,820,578","$77,607,667","$7,854,342"
12,13.0,PHI  PHI,51-31,15.0,25.8,"$130,102,816","$-20,962,816","$126,783,802","$88,246,630","$3,319,014"
13,14.0,LAC  LAC,48-34,14.0,27.5,"$130,154,932","$-21,014,932","$128,442,811","$80,747,556","$1,712,121"
14,15.0,MIL  MIL,60-22,15.0,28.7,"$130,229,664","$-21,089,664","$120,508,858","$72,071,145","$9,720,806"
15,16.0,DEN  DEN,54-28,15.0,24.9,"$131,854,274","$-22,714,274","$128,613,146","$76,143,916","$1,620,564"
16,17.0,MEM  MEM,33-49,15.0,24.1,"$132,844,749","$-23,704,749","$97,227,123","$45,229,213","$32,254,189"
17,18.0,WAS  WAS,32-50,15.0,24.8,"$134,529,412","$-25,389,412","$86,766,137","$61,649,051","$10,431,206"
18,19.0,CLE  CLE,19-63,15.0,24.6,"$135,275,863","$-26,135,863","$129,173,515","$75,432,159","$2,865,376"
19,20.0,DET  DET,41-41,15.0,24.8,"$136,015,378","$-26,875,378","$104,275,681","$61,486,571","$26,884,239"
20,21.0,SAS  SAS,48-34,15.0,25.9,"$136,184,793","$-27,044,793","$111,915,368","$68,239,975","$11,917,163"
21,22.0,DAL  DAL,33-49,16.0,26.9,"$136,193,863","$-27,053,863","$117,533,566","$60,069,797","$3,745,842"
22,23.0,MIN  MIN,36-46,14.0,23.4,"$136,248,239","$-27,108,239","$113,823,849","$73,176,557","$19,185,340"
23,24.0,POR  POR,53-29,15.0,24.8,"$137,667,430","$-28,527,430","$132,112,637","$84,452,299","$5,554,793"
24,25.0,GSW  GSW,57-25,13.0,24.6,"$138,003,598","$-28,863,598","$129,628,139","$100,478,388","$1,893,203"
25,26.0,MIA  MIA,39-43,15.0,26.6,"$138,759,297","$-29,619,297","$128,232,935","$69,145,085","$5,664,670"
26,27.0,OKC  OKC,49-33,15.0,24.7,"$139,719,723","$-30,579,723","$131,676,067","$86,964,738","$1,736,267"
27,28.0,TOR  TOR,58-24,15.0,25.7,"$142,301,048","$-33,161,048","$123,954,361","$83,863,601","$1,200,000"
28,29.0,ORL  ORL,42-40,15.0,25.8,"$146,546,422","$-37,406,422","$125,365,088","$65,013,636","$2,098,218"
29,30.0,HOU  HOU,53-29,15.0,29.1,"$151,594,903","$-42,454,903","$124,040,901","$90,763,212","$2,845,576"
30,,Totals,-,447.0,-,"$3,894,715,292","$-620,515,292","$3,430,981,568","$2,096,707,881","$269,192,329"
31,,Averages,-,14.9,25.5,"$129,823,843","$-20,683,843","$114,366,052","$69,890,263","$8,973,078"
