,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,SAS  SAS,34-48,15.0,23.9,"$101,649,048","$22,005,952","$70,878,022","$32,650,000","$30,771,026"
1,2.0,IND  IND,25-57,15.0,25.8,"$122,145,349","$1,509,651","$110,310,554","$64,941,619","$11,834,795"
2,3.0,DET  DET,23-59,15.0,24.2,"$127,673,493","$-4,018,493","$97,376,476","$42,602,800","$30,297,017"
3,4.0,MEM  MEM,56-26,15.0,23.8,"$127,756,781","$-4,101,781","$123,017,190","$61,873,434","$3,101,625"
4,5.0,HOU  HOU,20-62,15.0,23.9,"$138,296,534","$-14,641,534","$48,379,407","$25,389,697","$88,279,161"
5,6.0,ORL  ORL,22-60,15.0,23.7,"$139,801,010","$-16,146,010","$99,161,703","$48,050,000","$25,994,324"
6,7.0,CHA  CHA,43-39,15.0,24.1,"$146,049,640","$-22,394,640","$104,845,190","$64,161,316","$19,827,949"
7,8.0,UTA  UTA,49-33,15.0,25.5,"$147,162,541","$-23,507,541","$92,962,689","$46,315,454","$54,199,852"
8,9.0,ATL  ATL,43-39,15.0,24.1,"$149,133,740","$-25,478,740","$149,028,218","$79,303,397","$105,522"
9,10.0,TOR  TOR,48-34,15.0,26.1,"$149,260,166","$-25,605,166","$144,096,592","$74,055,815","$5,163,574"
10,11.0,NYK  NYK,37-45,15.0,24.7,"$150,263,571","$-26,608,571","$149,994,034","$71,869,332","$269,537"
11,12.0,POR  POR,27-55,15.0,23.5,"$151,480,955","$-27,825,955","$136,161,044","$85,768,921","$8,371,799"
12,13.0,MIA  MIA,53-29,15.0,27.9,"$152,766,041","$-29,111,041","$149,035,368","$96,338,414","$58,493"
13,14.0,CHI  CHI,46-36,15.0,25.8,"$153,093,665","$-29,438,665","$145,549,077","$86,396,500","$3,872,408"
14,15.0,NOP  NOP,36-46,15.0,25.4,"$154,090,191","$-30,435,191","$147,340,203","$79,683,933",-
15,16.0,CLE  CLE,44-38,15.0,26.7,"$154,561,446","$-30,906,446","$121,702,948","$69,710,046","$27,548,352"
16,17.0,SAC  SAC,30-52,15.0,25.1,"$154,815,256","$-31,160,256","$134,310,467","$69,804,053","$2,918,699"
17,18.0,OKC  OKC,24-58,15.0,22.6,"$155,437,627","$-31,782,627","$98,156,672","$56,082,768","$50,332,843"
18,19.0,PHI  PHI,51-31,15.0,27.1,"$164,391,836","$-40,736,836","$149,166,783","$104,249,820","$404,742"
19,20.0,BKN  BKN,44-38,15.0,26.7,"$164,774,911","$-41,119,911","$155,025,075","$75,948,672","$4,241,566"
20,21.0,DEN  DEN,48-34,15.0,26.8,"$169,601,210","$-45,946,210","$160,688,004","$96,181,120",-
21,22.0,MIN  MIN,46-36,15.0,25.5,"$174,906,722","$-51,251,722","$141,488,618","$94,685,814","$1,836,090"
22,23.0,PHX  PHX,64-18,15.0,28.1,"$175,806,777","$-52,151,777","$172,121,677","$108,871,995","$211,044"
23,24.0,BOS  BOS,51-31,15.0,27.2,"$176,795,764","$-53,140,764","$176,702,907","$86,628,565","$92,857"
24,25.0,LAL  LAL,33-49,15.0,25.8,"$180,067,292","$-56,412,292","$164,962,692","$113,833,458","$2,450,094"
25,26.0,DAL  DAL,52-30,15.0,27.8,"$180,090,371","$-56,435,371","$172,025,683","$95,759,580","$1,360,055"
26,27.0,MIL  MIL,51-31,15.0,29.7,"$181,849,255","$-58,194,255","$179,802,121","$114,760,248","$211,044"
27,28.0,WAS  WAS,35-47,15.0,26.1,"$183,801,576","$-60,146,576","$133,790,093","$90,112,650","$16,216,114"
28,29.0,LAC  LAC,42-40,15.0,28.4,"$193,025,318","$-69,370,318","$191,189,228","$104,553,344",-
29,30.0,GSW  GSW,53-29,15.0,26.7,"$199,320,856","$-75,665,856","$188,443,947","$122,286,864","$58,493"
30,,Totals,-,450.0,-,"$4,719,868,942","$-1,010,218,942","$4,107,712,682","$2,362,869,629","$390,029,075"
31,,Averages,-,15.0,25.7,"$157,328,965","$-33,673,965","$136,923,756","$78,762,321","$13,000,969"
