,Rank,Team,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Cap Space  Projected Practical,Active,Active  Top 3,Dead  Cap
0,1.0,CHI  CHI,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
1,2.0,GSW  GSW,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
2,3.0,IND  IND,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
3,4.0,LAC  LAC,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
4,5.0,LAL  LAL,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
5,6.0,PHI  PHI,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
6,7.0,UTA  UTA,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
7,8.0,WAS  WAS,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
8,9.0,BKN  BKN,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
9,10.0,CHA  CHA,0.0,0.0,$0,"$201,133,000","$201,133,000",-,-,-
10,11.0,MIL  MIL,0.0,0.0,"$23,665,175","$178,108,825","$201,774,000",-,-,-
11,12.0,MIA  MIA,0.0,0.0,"$24,300,000","$177,474,000","$201,774,000",-,-,-
12,13.0,DEN  DEN,1.0,29.0,"$28,448,274","$173,325,726","$201,774,000","$28,448,274","$28,448,274",-
13,14.0,SAC  SAC,1.0,30.0,"$31,862,067","$169,911,933","$201,774,000","$31,862,067","$31,862,067",-
14,15.0,NOP  NOP,0.0,0.0,"$36,293,442","$165,480,558","$201,774,000",-,-,-
15,16.0,DAL  DAL,0.0,0.0,"$36,852,261","$164,921,739","$201,774,000",-,-,-
16,17.0,MIN  MIN,0.0,0.0,"$42,672,414","$159,101,586","$201,774,000",-,-,-
17,18.0,NYK  NYK,0.0,0.0,"$62,276,784","$139,497,216","$201,774,000",-,-,-
18,19.0,SAS  SAS,0.0,0.0,"$70,620,900","$131,153,100","$201,774,000",-,-,-
19,20.0,POR  POR,0.0,0.0,"$70,995,533","$130,778,467","$201,774,000",-,-,-
20,21.0,BOS  BOS,0.0,0.0,"$73,748,500","$128,025,500","$201,774,000",-,-,-
21,22.0,MEM  MEM,0.0,0.0,"$73,916,500","$127,857,500","$201,774,000",-,-,-
22,23.0,PHX  PHX,0.0,0.0,"$75,757,931","$126,016,069","$201,774,000",-,-,"$3,107,143"
23,24.0,ATL  ATL,0.0,0.0,"$82,500,000","$119,274,000","$201,774,000",-,-,-
24,25.0,HOU  HOU,1.0,27.0,"$85,981,401","$115,792,599","$201,774,000","$27,426,355","$27,426,355",-
25,26.0,CLE  CLE,0.0,0.0,"$87,171,350","$114,602,650","$201,774,000",-,-,-
26,27.0,DET  DET,0.0,0.0,"$87,171,350","$114,602,650","$201,774,000",-,-,-
27,28.0,TOR  TOR,0.0,0.0,"$117,500,265","$84,273,735","$201,774,000",-,-,-
28,29.0,ORL  ORL,1.0,28.0,"$169,548,300","$32,225,700","$201,774,000","$54,780,000","$54,780,000",-
29,30.0,OKC  OKC,3.0,29.7,"$185,206,200","$16,567,800","$201,774,000","$185,206,200","$185,206,200",-
30,,Totals,7.0,-,"$1,466,488,647","$4,580,321,353",-,"$327,722,896","$327,722,896","$3,107,143"
31,,Averages,0.2,4.8,"$48,882,955","$152,677,378",-,"$10,924,097","$10,924,097","$103,571"
