,Rank,Team,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Cap Space  Projected Practical,Active,Active  Top 3,Dead  Cap
0,1.0,LAC  LAC,1.0,25.0,"$67,148,907","$115,866,093","$164,938,656","$5,448,356","$5,448,356",-
1,2.0,GSW  GSW,1.0,26.0,"$93,874,599","$89,140,401","$164,938,656","$2,735,698","$2,735,698",-
2,3.0,BKN  BKN,5.0,22.6,"$104,249,366","$78,765,634","$164,938,656","$33,479,052","$22,198,636",-
3,4.0,CHI  CHI,3.0,25.0,"$108,175,563","$74,839,437","$164,938,656","$51,230,464","$51,230,464",-
4,5.0,CHA  CHA,5.0,25.2,"$110,198,091","$72,816,909","$164,938,656","$71,290,428","$65,819,032",-
5,6.0,MIA  MIA,3.0,26.0,"$130,322,613","$52,692,387","$164,938,656","$79,069,687","$79,069,687",-
6,7.0,UTA  UTA,3.0,26.0,"$137,810,095","$45,204,905","$164,938,656","$72,928,823","$72,928,823",-
7,8.0,LAL  LAL,1.0,29.0,"$139,113,908","$43,901,092","$164,938,656","$57,768,000","$57,768,000",-
8,9.0,SAS  SAS,5.0,27.4,"$167,829,484","$15,185,516","$164,938,656","$119,274,533","$101,940,994",-
9,10.0,DET  DET,2.0,27.0,"$169,356,150","$13,658,850","$164,938,656","$60,264,382","$60,264,382",-
10,11.0,MIL  MIL,2.0,30.5,"$176,235,610","$6,779,390","$164,938,656","$40,767,776","$40,767,776","$22,516,603"
11,12.0,WAS  WAS,2.0,22.0,"$177,221,071","$5,793,929","$164,938,656","$17,645,563","$17,645,563",-
12,13.0,ATL  ATL,5.0,26.8,"$183,764,390","$-749,390","$164,938,656","$89,987,704","$70,919,890",-
13,14.0,MEM  MEM,3.0,27.3,"$204,774,342","$-21,759,342","$164,938,656","$63,173,428","$63,173,428",-
14,15.0,TOR  TOR,4.0,28.0,"$211,354,353","$-28,339,353","$164,938,656","$118,799,254","$109,924,570",-
15,16.0,NOP  NOP,5.0,26.2,"$224,691,904","$-41,676,904","$164,938,656","$74,875,969","$64,032,353",-
16,17.0,SAC  SAC,2.0,27.0,"$231,324,050","$-48,309,050","$164,938,656","$33,979,480","$33,979,480",-
17,18.0,BOS  BOS,5.0,29.8,"$233,935,429","$-50,920,429","$164,938,656","$184,895,875","$166,912,454",-
18,19.0,HOU  HOU,3.0,28.7,"$238,237,201","$-55,222,201","$164,938,656","$76,015,108","$76,015,108",-
19,20.0,PHI  PHI,4.0,27.8,"$241,687,070","$-58,672,070","$164,938,656","$131,971,616","$129,235,918",-
20,21.0,ORL  ORL,8.0,27.1,"$244,419,270","$-61,404,270","$164,938,656","$212,412,400","$140,967,500",-
21,22.0,IND  IND,5.0,28.6,"$253,578,627","$-70,563,627","$164,938,656","$94,236,323","$88,444,288",-
22,23.0,DEN  DEN,3.0,30.3,"$255,638,866","$-72,623,866","$164,938,656","$119,623,207","$119,623,207",-
23,24.0,PHX  PHX,3.0,26.0,"$259,096,704","$-76,081,704","$164,938,656","$75,238,529","$75,238,529","$22,490,153"
24,25.0,POR  POR,3.0,25.3,"$261,062,725","$-78,047,725","$164,938,656","$51,739,573","$51,739,573","$268,031"
25,26.0,DAL  DAL,3.0,27.3,"$271,704,747","$-88,689,747","$164,938,656","$61,151,220","$61,151,220",-
26,27.0,OKC  OKC,6.0,28.3,"$273,446,654","$-90,431,654","$164,938,656","$200,807,250","$162,165,400",-
27,28.0,CLE  CLE,4.0,28.3,"$274,449,176","$-91,434,176","$164,938,656","$103,262,238","$100,526,540",-
28,29.0,NYK  NYK,3.0,31.7,"$275,428,361","$-92,413,361","$164,938,656","$130,531,914","$130,531,914",-
29,30.0,MIN  MIN,4.0,26.5,"$319,577,984","$-136,562,984","$164,938,656","$119,308,939","$112,210,776",-
30,,Totals,106.0,-,"$6,039,707,310","$-549,257,310",-,"$2,553,912,789","$2,334,609,559","$45,274,787"
31,,Averages,3.5,27.1,"$201,323,577","$-18,308,577",-,"$85,130,426","$77,820,319","$1,509,160"
