,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,OKC  OKC,22-50,15.0,23.1,"$90,513,233","$21,900,767","$47,135,212","$21,204,432","$33,723,179"
1,2.0,MEM  MEM,38-34,15.0,23.5,"$115,994,102","$-3,580,102","$98,318,869","$39,210,321","$17,675,233"
2,3.0,NYK  NYK,41-31,15.0,25.8,"$118,396,240","$-5,982,240","$108,415,633","$50,387,977","$9,980,607"
3,4.0,CHA  CHA,33-39,15.0,24.8,"$120,990,744","$-8,576,744","$110,117,912","$59,830,263","$10,872,832"
4,5.0,SAS  SAS,33-39,15.0,23.9,"$126,419,926","$-14,005,926","$79,863,201","$40,794,208","$46,556,725"
5,6.0,ORL  ORL,21-51,15.0,23.8,"$126,992,175","$-14,578,175","$110,991,562","$54,382,143","$7,018,792"
6,7.0,DET  DET,20-52,15.0,23.9,"$128,989,131","$-16,575,131","$83,561,441","$43,509,736","$45,427,690"
7,8.0,POR  POR,42-30,15.0,24.7,"$129,526,823","$-17,112,823","$115,070,759","$70,506,264","$7,134,626"
8,9.0,HOU  HOU,17-55,15.0,23.9,"$132,065,764","$-19,651,764","$112,768,849","$76,196,325","$17,807,850"
9,10.0,SAC  SAC,31-41,15.0,26.1,"$132,576,503","$-20,162,503","$126,382,298","$66,887,591","$3,035,962"
10,11.0,ATL  ATL,41-31,15.0,25.6,"$132,773,339","$-20,359,339","$132,773,339","$61,475,000",-
11,12.0,CLE  CLE,22-50,15.0,25.3,"$133,138,401","$-20,724,401","$129,666,274","$68,758,256","$3,472,127"
12,13.0,PHX  PHX,51-21,15.0,27.7,"$133,742,329","$-21,328,329","$129,977,221","$75,083,550","$3,765,108"
13,14.0,NOP  NOP,31-41,15.0,25.5,"$134,663,536","$-22,249,536","$132,604,966","$74,331,998","$569,505"
14,15.0,BOS  BOS,36-36,15.0,25.6,"$135,425,801","$-23,011,801","$132,762,560","$81,862,429","$2,663,241"
15,16.0,IND  IND,34-38,15.0,25.1,"$136,089,712","$-23,675,712","$122,438,198","$62,773,234","$13,651,514"
16,17.0,CHI  CHI,31-41,15.0,25.3,"$136,118,673","$-23,704,673","$132,834,003","$69,500,000","$1,795,605"
17,18.0,MIA  MIA,40-32,15.0,28.4,"$138,804,919","$-26,390,919","$130,080,823","$91,103,828","$5,385,740"
18,19.0,DEN  DEN,47-25,15.0,26.7,"$138,963,942","$-26,549,942","$135,433,726","$76,921,797","$191,860"
19,20.0,UTA  UTA,52-20,14.0,26.9,"$145,969,091","$-33,555,091","$145,681,301","$84,448,328","$287,790"
20,21.0,DAL  DAL,42-30,15.0,26.8,"$146,734,486","$-34,320,486","$117,318,978","$56,621,100","$7,431,031"
21,22.0,TOR  TOR,27-45,15.0,24.4,"$149,439,621","$-37,025,621","$130,912,460","$68,904,862","$2,775,812"
22,23.0,WAS  WAS,34-38,15.0,25.2,"$155,635,311","$-43,221,311","$125,963,635","$78,413,662",-
23,24.0,PHI  PHI,49-23,15.0,26.1,"$156,429,129","$-44,015,129","$145,133,832","$111,886,180","$115,954"
24,25.0,MIL  MIL,46-26,15.0,28.1,"$160,663,369","$-48,249,369","$152,275,432","$106,016,233","$6,718,759"
25,26.0,LAL  LAL,42-30,15.0,28.8,"$160,861,720","$-48,447,720","$147,504,083","$120,753,050","$8,530,216"
26,27.0,MIN  MIN,23-49,15.0,24.5,"$165,734,220","$-53,320,220","$136,155,208","$76,156,064",-
27,28.0,LAC  LAC,47-25,15.0,26.8,"$166,162,398","$-53,748,398","$164,493,220","$94,317,707","$1,669,178"
28,29.0,BKN  BKN,48-24,15.0,27.6,"$172,820,410","$-60,406,410","$157,843,675","$110,351,536","$11,438,379"
29,30.0,GSW  GSW,39-33,15.0,27.2,"$184,024,769","$-71,610,769","$175,192,325","$115,341,076","$666,667"
30,,Totals,-,449.0,-,"$4,206,659,817","$-834,239,817","$3,769,670,995","$2,207,929,150","$270,361,982"
31,,Averages,-,15.0,25.7,"$140,221,994","$-27,807,994","$125,655,700","$73,597,638","$9,012,066"
