,Rank,Team,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Cap Space  Projected Practical,Active,Active  Top 3,Dead  Cap
0,1.0,BKN  BKN,11.0,23.6,"$157,265,974","$8,734,026","$149,604,232","$118,114,231","$79,453,877",-
1,2.0,UTA  UTA,11.0,24.6,"$179,474,177","$-13,474,177","$149,604,232","$104,346,912","$65,294,770",-
2,3.0,MEM  MEM,14.0,26.3,"$190,906,501","$-24,906,501","$149,254,232","$182,078,723","$112,788,010","$4,164,050"
3,4.0,MIL  MIL,12.0,28.8,"$191,039,448","$-25,039,448","$149,604,232","$156,063,873","$105,385,882","$23,183,270"
4,5.0,CHA  CHA,12.0,24.4,"$200,281,464","$-34,281,464","$149,604,232","$144,586,157","$78,701,233",-
5,6.0,IND  IND,13.0,26.7,"$219,251,423","$-53,251,423","$148,528,773","$184,826,097","$117,399,408",-
6,7.0,TOR  TOR,12.0,25.4,"$227,030,701","$-61,030,701","$149,604,232","$190,653,791","$114,254,690",-
7,8.0,HOU  HOU,9.0,28.6,"$227,703,482","$-61,703,482","$149,604,232","$184,925,541","$104,544,641",-
8,9.0,NOP  NOP,14.0,25.7,"$228,290,173","$-62,290,173","$149,604,232","$198,129,850","$108,996,223",-
9,10.0,WAS  WAS,10.0,22.4,"$228,907,616","$-62,907,616","$149,604,232","$102,287,926","$70,578,072",-
10,11.0,LAC  LAC,11.0,31.1,"$232,700,974","$-66,700,974","$149,604,232","$170,216,568","$112,167,467",-
11,12.0,POR  POR,10.0,27.0,"$233,980,434","$-67,980,434","$149,604,232","$164,763,510","$89,096,185","$268,032"
12,13.0,PHI  PHI,9.0,25.9,"$240,531,240","$-74,531,240","$149,604,232","$178,743,004","$152,996,900",-
13,14.0,BOS  BOS,11.0,26.8,"$242,166,083","$-76,166,083","$149,604,232","$180,627,000","$145,883,294",-
14,15.0,DET  DET,10.0,26.0,"$242,725,273","$-76,725,273","$147,604,232","$131,344,170","$81,098,585",-
15,16.0,SAC  SAC,9.0,28.1,"$245,547,510","$-79,547,510","$149,604,232","$189,888,949","$120,179,380",-
16,17.0,SAS  SAS,9.0,24.9,"$246,193,117","$-80,193,117","$149,604,232","$152,768,566","$94,300,000",-
17,18.0,PHX  PHX,9.0,26.6,"$247,312,119","$-81,312,119","$149,354,232","$155,870,729","$113,322,621","$23,197,051"
18,19.0,ATL  ATL,11.0,24.4,"$247,940,561","$-81,940,561","$149,604,232","$126,340,386","$71,100,000",-
19,20.0,DAL  DAL,12.0,28.2,"$252,856,986","$-86,856,986","$149,604,232","$213,926,433","$117,760,892","$3,211,216"
20,21.0,ORL  ORL,11.0,25.1,"$254,755,766","$-88,755,766","$141,604,232","$214,692,269","$122,700,780",-
21,22.0,CHI  CHI,8.0,24.1,"$255,074,615","$-89,074,615","$149,604,232","$86,066,150","$54,814,814",-
22,23.0,NYK  NYK,9.0,28.2,"$257,737,215","$-91,737,215","$149,604,232","$206,735,628","$137,318,249",-
23,24.0,GSW  GSW,11.0,29.7,"$258,610,939","$-92,610,939","$149,604,232","$213,214,648","$147,098,502",-
24,25.0,DEN  DEN,11.0,27.9,"$259,159,183","$-93,159,183","$149,604,232","$216,209,133","$141,116,779",-
25,26.0,LAL  LAL,9.0,26.2,"$267,382,056","$-101,382,056","$149,604,232","$105,270,325","$77,127,357",-
26,27.0,MIA  MIA,10.0,25.8,"$267,566,456","$-101,566,456","$149,604,232","$160,886,195","$112,969,644",-
27,28.0,MIN  MIN,10.0,25.9,"$268,071,383","$-102,071,383","$149,604,232","$197,277,185","$118,757,958",-
28,29.0,OKC  OKC,14.0,26.0,"$274,959,934","$-108,959,934","$148,104,232","$246,151,772","$123,806,150",-
29,30.0,CLE  CLE,11.0,27.3,"$280,016,694","$-114,016,694","$149,604,232","$239,325,713","$142,377,766","$424,672"
30,,Totals,323.0,-,"$7,125,439,497","$-2,145,439,497",-,"$5,116,331,434","$3,233,390,129","$54,448,291"
31,,Averages,10.8,26.4,"$237,514,650","$-71,514,650",-,"$170,544,381","$107,779,671","$1,814,943"
