,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,PHX  PHX,33-33,16.0,26.6,"$53,234,902","$4,809,098","$51,913,298","$20,758,960","$1,321,604"
1,2.0,SAC  SAC,22-44,13.0,25.4,"$53,575,342","$4,468,658","$51,000,236","$21,094,250","$2,575,106"
2,3.0,CLE  CLE,21-45,16.0,25.6,"$53,964,150","$4,079,850","$49,406,697","$19,835,305","$4,557,453"
3,4.0,HOU  HOU,34-32,16.0,24.8,"$55,435,438","$2,608,562","$44,545,613","$22,849,292","$10,889,825"
4,5.0,CHA  CHA,-,16.0,25.8,"$57,500,127","$543,873","$57,257,078","$27,772,200","$243,049"
5,6.0,POR  POR,28-38,16.0,24.8,"$58,379,149","$-335,149","$54,632,812","$30,830,320","$3,746,337"
6,7.0,WAS  WAS,20-46,16.0,25.5,"$58,631,988","$-587,988","$57,506,990","$33,748,960","$1,124,998"
7,8.0,MIL  MIL,31-35,15.0,27.1,"$61,658,839","$-3,614,839","$61,658,839","$25,598,565",-
8,9.0,DAL  DAL,36-30,16.0,28.7,"$61,941,526","$-3,897,526","$58,996,275","$37,600,009","$2,945,251"
9,10.0,MIN  MIN,26-40,16.0,26.1,"$62,360,135","$-4,316,135","$60,238,958","$28,548,099","$2,121,177"
10,11.0,MEM  MEM,41-25,15.0,25.7,"$63,276,388","$-5,232,388","$62,366,281","$37,897,145","$910,107"
11,12.0,NOH  NOH,-,15.0,24.1,"$63,685,125","$-5,641,125","$46,311,220","$27,513,030","$17,373,905"
12,13.0,DEN  DEN,38-28,15.0,24.7,"$63,970,222","$-5,926,222","$63,970,222","$34,407,250",-
13,14.0,PHI  PHI,35-31,16.0,26.4,"$64,367,073","$-6,323,073","$63,742,383","$30,889,130","$624,690"
14,15.0,ORL  ORL,37-29,15.0,25.5,"$66,215,396","$-8,171,396","$57,651,721","$28,165,850","$8,563,675"
15,16.0,ATL  ATL,40-26,15.0,26.9,"$66,492,527","$-8,448,527","$63,620,146","$33,700,000","$2,872,381"
16,17.0,IND  IND,42-24,15.0,25.7,"$66,745,868","$-8,701,868","$66,225,684","$36,727,356","$520,184"
17,18.0,UTA  UTA,36-30,15.0,25.9,"$66,913,862","$-8,869,862","$63,344,192","$32,103,633","$3,569,670"
18,19.0,TOR  TOR,23-43,16.0,25.8,"$68,081,026","$-10,037,026","$67,088,346","$32,710,538","$992,680"
19,20.0,OKC  OKC,47-19,15.0,25.9,"$68,257,854","$-10,213,854","$68,057,854","$42,778,054","$200,000"
20,21.0,DET  DET,25-41,14.0,25.6,"$68,565,736","$-10,521,736","$62,495,969","$29,986,121","$6,069,767"
21,22.0,LAC  LAC,40-26,15.0,29.5,"$69,520,697","$-11,476,697","$68,400,718","$36,512,435","$1,119,979"
22,23.0,SAS  SAS,50-16,16.0,28.2,"$69,568,331","$-11,524,331","$69,407,505","$36,667,242","$160,826"
23,24.0,GSW  GSW,23-43,16.0,25.4,"$69,712,825","$-11,668,825","$69,667,990","$35,908,000","$44,835"
24,25.0,BOS  BOS,39-27,15.0,27.3,"$71,576,087","$-13,532,087","$70,261,284","$39,356,610","$1,314,803"
25,26.0,CHI  CHI,50-16,15.0,27.6,"$74,258,448","$-16,214,448","$74,105,866","$44,707,500","$152,582"
26,27.0,NYK  NYK,36-30,15.0,30.8,"$78,854,599","$-20,810,599","$74,741,057","$52,997,491","$4,113,542"
27,28.0,MIA  MIA,46-20,15.0,30.9,"$83,431,885","$-25,387,885","$80,736,455","$52,272,000","$2,695,430"
28,29.0,BKN  BKN,22-44,15.0,27.6,"$83,529,674","$-25,485,674","$83,048,918","$50,599,190","$480,756"
29,30.0,LAL  LAL,41-25,15.0,28.6,"$99,847,565","$-41,803,565","$99,646,980","$66,385,509","$200,585"
30,,Totals,-,459.0,-,"$2,003,552,784","$-262,232,784","$1,922,047,587","$1,050,920,044","$81,505,197"
31,,Averages,-,15.3,26.6,"$66,785,093","$-8,741,093","$64,068,253","$35,030,668","$2,716,840"
