,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,DAL  DAL,24-58,15.0,27.3,"$87,760,060","$14,108,940","$73,673,600","$41,085,157","$14,086,460"
1,2.0,ATL  ATL,24-58,15.0,25.0,"$103,572,575","$-1,703,575","$62,166,838","$37,789,887","$41,405,737"
2,3.0,SAC  SAC,27-55,15.0,24.7,"$104,038,467","$-2,169,467","$92,249,525","$45,330,217","$11,788,942"
3,4.0,LAL  LAL,35-47,15.0,25.8,"$105,333,698","$-3,464,698","$90,827,159","$56,654,150","$14,506,539"
4,5.0,PHX  PHX,21-61,15.0,24.1,"$108,453,793","$-6,584,793","$68,854,080","$39,160,530","$39,599,713"
5,6.0,IND  IND,48-34,15.0,25.9,"$110,579,462","$-8,710,462","$99,581,987","$47,164,045","$10,997,475"
6,7.0,PHI  PHI,52-30,15.0,26.1,"$111,962,081","$-10,093,081","$107,554,205","$60,713,029","$4,407,876"
7,8.0,CHI  CHI,27-55,15.0,23.6,"$112,014,084","$-10,145,084","$93,010,122","$59,869,663","$19,003,962"
8,9.0,UTA  UTA,48-34,15.0,26.8,"$114,837,858","$-12,968,858","$113,394,016","$55,366,573",-
9,10.0,NOP  NOP,48-34,15.0,24.9,"$116,073,210","$-14,204,210","$98,806,475","$63,663,302","$15,721,784"
10,11.0,BKN  BKN,28-54,15.0,25.1,"$117,571,620","$-15,702,620","$77,805,720","$43,430,000","$39,765,900"
11,12.0,ORL  ORL,25-57,15.0,25.0,"$117,760,938","$-15,891,938","$112,686,749","$54,590,909","$1,984,287"
12,13.0,LAC  LAC,42-40,14.0,25.8,"$118,570,700","$-16,701,700","$83,224,562","$42,388,141","$35,346,138"
13,14.0,DEN  DEN,46-36,15.0,24.2,"$119,128,560","$-17,259,560","$117,237,539","$71,215,876","$346,070"
14,15.0,MIN  MIN,47-35,16.0,26.9,"$121,862,669","$-19,993,669","$117,381,186","$59,638,037","$2,966,936"
15,16.0,NYK  NYK,29-53,15.0,23.6,"$123,265,800","$-21,396,800","$62,775,458","$36,516,850","$60,490,342"
16,17.0,CLE  CLE,50-32,15.0,26.1,"$123,699,800","$-21,830,800","$122,179,119","$56,308,590","$1,520,681"
17,18.0,MIL  MIL,44-38,15.0,27.2,"$123,913,271","$-22,044,271","$114,955,757","$58,157,303","$7,412,563"
18,19.0,MEM  MEM,22-60,16.0,26.1,"$124,214,557","$-22,345,557","$119,619,058","$71,167,699","$2,419,239"
19,20.0,CHA  CHA,36-46,15.0,25.8,"$124,672,166","$-22,803,166","$121,810,182","$55,087,500",-
20,21.0,DET  DET,39-43,15.0,26.5,"$124,996,010","$-23,127,010","$116,292,254","$74,566,673","$7,189,209"
21,22.0,SAS  SAS,47-35,15.0,26.5,"$126,132,717","$-24,263,717","$101,438,941","$61,658,419","$20,306,394"
22,23.0,MIA  MIA,44-38,15.0,27.3,"$126,261,568","$-24,392,568","$122,642,402","$63,964,984","$473,695"
23,24.0,WAS  WAS,43-39,15.0,26.3,"$126,590,911","$-24,721,911","$115,804,428","$64,604,063","$7,696,581"
24,25.0,BOS  BOS,55-27,15.0,25.8,"$128,794,955","$-26,925,955","$125,326,738","$80,242,192","$178,315"
25,26.0,HOU  HOU,65-17,15.0,27.0,"$128,871,987","$-27,002,987","$120,917,793","$79,869,107","$1,017,401"
26,27.0,POR  POR,49-33,15.0,24.9,"$133,096,018","$-31,227,018","$128,004,910","$71,606,307","$5,091,108"
27,28.0,OKC  OKC,48-34,14.0,25.6,"$147,471,767","$-45,602,767","$138,162,052","$90,372,153","$4,707,212"
28,29.0,TOR  TOR,59-23,15.0,27.1,"$149,687,828","$-47,818,828","$135,460,496","$79,933,091","$1,970,916"
29,30.0,GSW  GSW,58-24,15.0,27.5,"$154,587,831","$-52,718,831","$144,354,753","$86,445,879","$945,126"
30,,Totals,-,450.0,-,"$3,635,776,961","$-579,706,961","$3,198,198,104","$1,808,560,326","$373,346,601"
31,,Averages,-,15.0,25.8,"$121,192,565","$-19,323,565","$106,606,603","$60,285,344","$12,444,887"
