,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,NYK  NYK,17-65,12.0,27.4,"$59,812,260","$10,187,740","$59,283,244","$38,277,812","$529,016"
1,2.0,ORL  ORL,25-57,15.0,24.6,"$64,462,856","$5,537,144","$61,108,745","$27,494,497","$3,354,111"
2,3.0,UTA  UTA,38-44,15.0,24.1,"$64,817,873","$5,182,127","$63,160,091","$36,873,054","$1,657,782"
3,4.0,PHI  PHI,18-64,15.0,24.1,"$65,500,677","$4,499,323","$31,052,215","$15,709,640","$31,372,562"
4,5.0,POR  POR,51-31,15.0,24.6,"$66,562,366","$3,437,634","$48,301,816","$21,023,697","$14,185,050"
5,6.0,MIL  MIL,41-41,15.0,24.3,"$70,579,512","$-579,512","$68,656,240","$39,107,500","$1,923,272"
6,7.0,ATL  ATL,60-22,15.0,27.7,"$71,407,945","$-1,407,945","$71,332,945","$39,471,659","$75,000"
7,8.0,DEN  DEN,30-52,15.0,25.3,"$71,448,753","$-1,448,753","$60,186,706","$35,685,393","$11,262,047"
8,9.0,IND  IND,38-44,15.0,25.9,"$72,413,726","$-2,413,726","$66,751,826","$35,420,106","$5,661,900"
9,10.0,SAC  SAC,29-53,15.0,26.4,"$72,671,296","$-2,671,296","$71,733,666","$37,755,051","$937,630"
10,11.0,MIN  MIN,16-66,14.0,25.9,"$72,747,407","$-2,747,407","$59,841,104","$33,300,000","$10,811,751"
11,12.0,LAL  LAL,21-61,15.0,27.1,"$73,112,648","$-3,112,648","$71,770,430","$47,592,216","$194,942"
12,13.0,PHX  PHX,39-43,14.0,25.6,"$73,443,637","$-3,443,637","$63,389,393","$40,000,000","$10,054,244"
13,14.0,DAL  DAL,50-32,15.0,29.5,"$74,044,137","$-4,044,137","$71,198,732","$40,102,334","$1,898,129"
14,15.0,TOR  TOR,49-33,15.0,25.6,"$74,216,787","$-4,216,787","$71,217,611","$35,750,000","$1,097,276"
15,16.0,DET  DET,32-50,14.0,25.9,"$75,603,690","$-5,603,690","$66,217,330","$36,413,043","$9,386,360"
16,17.0,BOS  BOS,40-42,15.0,24.3,"$79,441,671","$-9,441,671","$58,250,334","$26,643,206","$18,916,337"
17,18.0,CHA  CHA,33-49,15.0,25.9,"$80,426,916","$-10,426,916","$78,340,920","$38,625,307","$191,444"
18,19.0,NOP  NOP,45-37,18.0,26.5,"$81,425,760","$-11,425,760","$80,164,538","$36,844,124","$1,261,222"
19,20.0,BKN  BKN,38-44,15.0,25.2,"$81,451,123","$-11,451,123","$51,712,738","$37,224,955","$28,791,109"
20,21.0,MIA  MIA,37-45,15.0,28.5,"$84,619,637","$-14,619,637","$82,539,172","$56,975,730","$2,080,465"
21,22.0,MEM  MEM,55-27,16.0,28.5,"$85,476,595","$-15,476,595","$76,017,172","$38,915,981","$7,364,871"
22,23.0,WAS  WAS,46-36,15.0,27.5,"$87,133,390","$-17,133,390","$76,328,636","$40,069,341","$7,962,926"
23,24.0,SAS  SAS,55-27,15.0,31.2,"$87,594,996","$-17,594,996","$85,192,733","$49,534,000","$2,402,263"
24,25.0,HOU  HOU,56-26,15.0,26.6,"$88,387,446","$-18,387,446","$75,204,953","$46,345,177","$13,182,493"
25,26.0,OKC  OKC,45-37,15.0,26.9,"$94,712,574","$-24,712,574","$93,765,298","$53,310,340",-
26,27.0,LAC  LAC,56-26,15.0,29.1,"$99,997,773","$-29,997,773","$94,554,340","$60,065,421","$1,586,184"
27,28.0,CHI  CHI,50-32,18.0,26.6,"$102,184,130","$-32,184,130","$101,850,797","$49,900,564","$333,333"
28,29.0,GSW  GSW,67-15,15.0,27.3,"$104,731,006","$-34,731,006","$88,868,997","$43,561,870","$6,908,685"
29,30.0,CLE  CLE,53-29,15.0,29.2,"$107,975,670","$-37,975,670","$106,997,506","$59,067,000","$30,888"
30,,Totals,-,451.0,-,"$2,388,404,257","$-288,404,257","$2,154,990,228","$1,197,059,018","$195,413,292"
31,,Averages,-,15.0,26.6,"$79,613,475","$-9,613,475","$71,833,008","$39,901,967","$6,513,776"
