,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,DAL  DAL,33-49,15.0,26.3,"$85,147,033","$13,945,967","$77,926,451","$49,999,304","$7,220,582"
1,2.0,CHI  CHI,41-41,15.0,24.4,"$90,105,625","$8,987,375","$63,826,969","$32,227,505","$26,278,656"
2,3.0,PHX  PHX,24-58,15.0,24.1,"$92,518,634","$6,574,366","$73,955,365","$36,618,750","$18,563,269"
3,4.0,IND  IND,42-40,15.0,25.1,"$93,661,969","$5,431,031","$90,081,320","$46,296,348","$3,580,649"
4,5.0,ORL  ORL,29-53,15.0,25.6,"$95,538,311","$3,554,689","$94,946,559","$46,250,000","$591,752"
5,6.0,BKN  BKN,20-62,15.0,25.0,"$95,964,560","$3,128,440","$88,965,468","$49,412,500","$6,999,092"
6,7.0,SAC  SAC,32-50,15.0,25.7,"$97,154,206","$1,938,794","$77,725,702","$32,115,385","$17,957,122"
7,8.0,PHI  PHI,28-54,15.0,25.3,"$100,020,936","$-927,936","$89,638,648","$50,698,103","$10,382,288"
8,9.0,ATL  ATL,43-39,15.0,24.6,"$100,108,457","$-1,015,457","$67,426,026","$44,910,113","$32,682,431"
9,10.0,NYK  NYK,31-51,15.0,25.6,"$104,405,156","$-5,312,156","$98,086,116","$54,831,801","$6,319,040"
10,11.0,MIA  MIA,41-41,16.0,26.7,"$105,065,917","$-5,972,917","$103,753,306","$54,729,956","$1,312,611"
11,12.0,LAL  LAL,26-56,15.0,24.9,"$105,120,157","$-6,027,157","$93,848,506","$57,578,244","$8,328,887"
12,13.0,MIN  MIN,31-51,15.0,26.9,"$105,179,927","$-6,086,927","$102,581,006","$52,413,430","$2,598,921"
13,14.0,DEN  DEN,40-42,16.0,26.1,"$106,515,203","$-7,422,203","$101,779,153","$57,731,675","$4,736,050"
14,15.0,UTA  UTA,51-31,15.0,25.9,"$106,862,254","$-7,769,254","$103,837,783","$50,386,083","$3,024,471"
15,16.0,MEM  MEM,43-39,15.0,25.7,"$112,723,222","$-13,630,222","$100,033,826","$74,284,962","$9,868,899"
16,17.0,BOS  BOS,53-29,16.0,25.1,"$115,075,693","$-15,982,693","$114,825,547","$76,330,930","$250,146"
17,18.0,MIL  MIL,42-40,15.0,25.8,"$116,214,360","$-17,121,360","$100,039,227","$51,071,910","$16,175,133"
18,19.0,SAS  SAS,61-21,15.0,28.1,"$117,624,936","$-18,531,936","$113,237,104","$56,329,635","$2,916,450"
19,20.0,HOU  HOU,55-27,15.0,28.8,"$118,271,451","$-19,178,451","$114,484,312","$72,477,312","$3,787,139"
20,21.0,LAC  LAC,51-31,15.0,26.6,"$118,817,049","$-19,724,049","$116,141,747","$59,201,949","$2,675,302"
21,22.0,DET  DET,37-45,15.0,26.1,"$118,897,722","$-19,804,722","$113,040,993","$69,503,406","$5,856,729"
22,23.0,POR  POR,41-41,15.0,24.4,"$119,265,261","$-20,172,261","$114,016,865","$67,246,777","$5,248,396"
23,24.0,TOR  TOR,51-31,15.0,25.1,"$119,956,468","$-20,863,468","$115,391,026","$76,505,407","$1,192,160"
24,25.0,CHA  CHA,36-46,14.0,25.6,"$120,170,928","$-21,077,928","$117,228,164","$59,103,533",-
25,26.0,NOP  NOP,34-48,15.0,26.7,"$120,284,741","$-21,191,741","$115,907,328","$67,526,023","$2,906,031"
26,27.0,WAS  WAS,49-33,15.0,27.3,"$124,114,043","$-25,021,043","$122,840,421","$66,612,606","$1,273,622"
27,28.0,OKC  OKC,47-35,15.0,26.8,"$134,391,728","$-35,298,728","$130,477,891","$77,246,278","$2,442,455"
28,29.0,GSW  GSW,67-15,15.0,27.9,"$136,843,128","$-37,750,128","$132,955,238","$77,508,700","$2,416,508"
29,30.0,CLE  CLE,51-31,15.0,28.4,"$140,394,596","$-41,301,596","$135,777,082","$75,928,059","$203,368"
30,,Totals,-,452.0,-,"$3,316,413,671","$-343,623,671","$3,084,775,149","$1,743,076,684","$207,788,159"
31,,Averages,-,15.1,26.0,"$110,547,122","$-11,454,122","$102,825,838","$58,102,556","$6,926,272"
