,Rank,Team,Record,Players  Active,Avg Age  Team,Total Cap  Allocations,Cap Space  All,Active,Active  Top 3,Dead  Cap
0,1.0,MIL  MIL,15-67,16.0,24.6,"$55,114,481","$7,950,519","$44,560,189","$21,100,000","$10,554,292"
1,2.0,ATL  ATL,38-44,15.0,27.3,"$58,328,957","$4,736,043","$57,245,276","$29,500,000","$1,083,681"
2,3.0,ORL  ORL,23-59,15.0,24.9,"$58,830,518","$4,234,482","$41,311,716","$18,057,288","$14,705,259"
3,4.0,UTA  UTA,25-57,15.0,23.5,"$58,905,618","$4,159,382","$47,940,340","$32,696,000","$10,965,278"
4,5.0,PHX  PHX,48-34,16.0,26.1,"$60,237,268","$2,827,732","$55,464,385","$27,275,000","$4,772,883"
5,6.0,BOS  BOS,25-57,15.0,24.7,"$60,403,234","$2,661,766","$52,905,065","$24,535,472","$7,498,169"
6,7.0,PHI  PHI,19-63,16.0,23.9,"$60,466,222","$2,598,778","$34,387,296","$15,411,341","$22,445,040"
7,8.0,DET  DET,29-53,15.0,26.9,"$63,871,995","$-806,995","$49,558,917","$21,707,865","$14,313,078"
8,9.0,CHA  CHA,43-39,16.0,25.4,"$65,680,052","$-2,615,052","$64,710,971","$29,500,000","$969,081"
9,10.0,DEN  DEN,36-46,15.0,25.1,"$65,829,749","$-2,764,749","$53,359,369","$29,208,269","$2,782,985"
10,11.0,CHI  CHI,48-34,15.0,28.6,"$67,432,537","$-4,367,537","$67,099,204","$39,562,876","$333,333"
11,12.0,MIN  MIN,40-42,16.0,25.5,"$68,835,033","$-5,770,033","$64,182,806","$30,892,500","$3,736,984"
12,13.0,LAL  LAL,27-55,16.0,26.1,"$70,374,042","$-7,309,042","$59,483,328","$40,874,646","$10,890,714"
13,14.0,NOP  NOP,34-48,14.0,25.5,"$71,528,838","$-8,463,838","$68,280,315","$36,068,849","$2,133,280"
14,15.0,SAS  SAS,62-20,15.0,28.9,"$72,188,326","$-9,123,326","$69,028,330","$32,111,446","$1,350,903"
15,16.0,POR  POR,54-28,16.0,27.0,"$73,909,998","$-10,844,998","$72,964,755","$36,661,057","$30,000"
16,17.0,HOU  HOU,54-28,16.0,27.4,"$74,050,249","$-10,985,249","$71,004,520","$44,744,204","$3,045,729"
17,18.0,WAS  WAS,44-38,16.0,28.5,"$74,417,924","$-11,352,924","$72,952,787","$38,180,782","$549,894"
18,19.0,DAL  DAL,49-33,16.0,29.6,"$75,014,621","$-11,949,621","$72,183,738","$42,455,977","$2,830,883"
19,20.0,SAC  SAC,28-54,15.0,26.7,"$75,324,906","$-12,259,906","$73,061,908","$40,563,326","$1,114,835"
20,21.0,MEM  MEM,50-32,15.0,27.5,"$75,675,569","$-12,610,569","$73,989,079","$41,529,688","$771,247"
21,22.0,MIA  MIA,54-28,16.0,28.2,"$75,966,404","$-12,901,404","$75,084,575","$45,358,861","$881,829"
22,23.0,IND  IND,56-26,15.0,27.8,"$75,998,942","$-12,933,942","$74,798,942","$42,824,618",-
23,24.0,TOR  TOR,48-34,15.0,25.9,"$77,011,766","$-13,946,766","$75,424,914","$29,100,000","$671,609"
24,25.0,OKC  OKC,59-23,15.0,25.3,"$79,706,876","$-16,641,876","$77,876,390","$47,064,686","$915,243"
25,26.0,GSW  GSW,51-31,15.0,26.7,"$80,391,141","$-17,326,141","$71,881,167","$40,274,517","$703,926"
26,27.0,CLE  CLE,33-49,15.0,28.7,"$81,377,634","$-18,312,634","$80,811,761","$46,068,008","$565,873"
27,28.0,LAC  LAC,57-25,15.0,28.6,"$82,909,773","$-19,844,773","$77,554,797","$49,183,299","$3,074,976"
28,29.0,NYK  NYK,37-45,15.0,26.0,"$84,197,750","$-21,132,750","$54,410,045","$41,055,592","$26,219,583"
29,30.0,BKN  BKN,44-38,15.0,26.9,"$92,047,946","$-28,982,946","$88,024,730","$58,654,318","$404,445"
30,,Totals,-,460.0,-,"$2,136,028,369","$-244,078,369","$1,941,541,615","$1,072,220,485","$150,315,032"
31,,Averages,-,15.3,26.6,"$71,200,946","$-8,135,946","$64,718,054","$35,740,683","$5,010,501"
