" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Matthews                     Wesley Matthews","SG","29","$16,407,500","23.44%","$16,407,500","$16,407,500","$16,407,500","$16,407,500","2019"
"2","Parsons                     Chandler Parsons","SF","27","$15,361,500","21.95%","$15,361,500","$15,361,500","$15,361,500","$15,361,500","2017"
"3","Nowitzki                     Dirk Nowitzki","PF","37","$8,333,334","11.90%","$8,333,334","$8,333,334","$8,333,334","$8,333,334","2017"
"4","Williams                     Deron Williams","PG","31","$5,378,974","7.68%","$5,378,974","$5,378,974","$5,378,974","$5,378,974","2017"
"5","Pachulia                     Zaza Pachulia","C","31","$5,200,000","7.43%","$5,200,000","$5,200,000","$5,200,000","'-","2016"
"6","Barea                     Jose Barea","PG","31","$4,290,000","6.13%","$4,290,000","$4,290,000","$4,290,000","$4,290,000","2019"
"7","Harris                     Devin Harris","PG","32","$4,053,446","5.79%","$4,053,446","$4,053,446","$4,053,446","$4,053,446","2018"
"8","Felton                     Raymond Felton","PG","31","$3,950,313","5.64%","$3,950,313","$3,950,313","$3,950,313","'-","2016"
"9","Lee                     David Lee","PF","32","$2,085,671","2.98%","$2,085,671","$2,085,671","$2,085,671","'-","2016"
"10","Anderson                     Justin Anderson","SG","22","$1,449,000","2.07%","$1,449,000","$1,449,000","$1,449,000","$1,449,000","2019"
"11","McGee                     JaVale McGee","C","28","$1,270,964","1.82%","$1,270,964","$1,270,964","$1,270,964","'-","2017"
"12","Evans                     Jeremy Evans","SF","28","$1,100,602","1.57%","$1,100,602","$1,100,602","$1,100,602","'-","2017"
"13","Villanueva                     Charlie Villanueva","PF","31","$947,276","1.35%","$947,276","$947,276","$1,499,187","'-","2016"
"14","Powell                     Dwight Powell","PF","24","$845,059","1.21%","$845,059","$845,059","$845,059","$845,059","2026"
"15","Mejri                     Salah Mejri","C","29","$525,093","0.75%","$525,093","$525,093","$525,093","$525,093","2018"

