"Player (5)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Thompkins                   Trey Thompkins","PF","","","$762,195","1.31%","","","","",""
"Leslie                   Travis Leslie","SG","","","$250,000","0.43%","","","","",""
"Summers                   DaJuan Summers","PF","","","$52,066","0.09%","","","","",""
"Wayns                   Maalik Wayns","PG","","","$27,859","0.05%","","","","",""
"Wayns                   Maalik Wayns","PG","","","$27,859","0.05%","","","","",""

