" ","Player (6)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Towns                     Karl-Anthony Towns","C","33","$72,042,212","39.36%","","","","","Bird"
"2","Hart                     Josh Hart","SG","33","$33,562,920","18.34%","","","","",""
"3","Dadiet                     Pacome Dadiet","SG","23","$16,120,824","8.81%","","","","","Restricted Bird"
"4","Koponen                     Petteri Koponen","G","40","$3,839,400","2.10%","","","","","1st Round Pick"
"5","Kolek                     Tyler Kolek","PG","27","$3,056,337","1.67%","","","","","Bird"
"6","Tucker                     P.J. Tucker","PF","43","$2,717,496","1.48%","","","","","Non-Bird"
"Incomplete Roster Charge","","","","                                                   $13,557,258"," "," "," "," "," "," "

