" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Durant                     Kevin Durant","SF","34","$44,124,845","35.68%","$44,124,845","$44,124,845","$15,725,235","$42,969,845","2028"
"2","Booker                     Devin Booker","SG","26","$33,833,400","27.36%","$33,833,400","$33,833,400","$33,833,400","$33,833,400","2030"
"3","Ayton                     Deandre Ayton","C","24","$30,913,750","25.00%","$30,913,750","$30,913,750","$30,913,750","$30,913,750","2027"
"4","Paul                     Chris Paul","PG","37","$28,400,000","22.97%","$28,400,000","$28,400,000","$28,400,000","$28,400,000","2025"
"5","Shamet                     Landry Shamet","SG","25","$9,500,000","7.68%","$9,500,000","$9,500,000","$9,500,000","$9,500,000","2026"
"6","Payne                     Cameron Payne","PG","28","$6,000,000","4.85%","$6,000,000","$6,000,000","$6,000,000","$6,000,000","2024"
"7","Craig                     Torrey Craig","SF","32","$5,121,951","4.14%","$5,121,951","$5,121,951","$5,121,951","$5,121,951","2023"
"8","Bazley                     Darius Bazley","PF","22","$4,264,629","3.45%","$4,264,629","$4,264,629","$1,446,052","$4,264,629","2023"
"9","Biyombo                     Bismack Biyombo","C","30","$1,836,090","1.48%","$1,836,090","$1,836,090","$2,905,851","$2,905,851","2026"
"10","Warren                     T.J. Warren","SF","29","$1,836,090","1.48%","$1,836,090","$1,836,090","$891,306","$2,628,597","2023"
"11","Lee                     Damion Lee","SG","30","$1,836,090","1.48%","$1,836,090","$1,836,090","$2,133,278","$2,133,278","2023"
"12","Okogie                     Josh Okogie","SG","24","$1,836,090","1.48%","$1,836,090","$1,836,090","$1,968,175","$1,968,175","2023"
"13","Landale                     Jock Landale","C","27","$1,563,518","1.26%","$1,563,518","$1,563,518","$1,563,518","$1,563,518","2026"
"14","Ross                     Terrence Ross","SF","31","$580,373","0.47%","$580,373","$580,373","$918,516","$918,516","2023"
"15","Wainright                     Ishmail Wainright","SF","28","$474,851","0.38%","$474,851","$474,851","$474,851","$474,851","2024"
"16","Lee                     Saben Lee","PG","23","Two-Way","'-","'-","'-","'-","'-","2023"

