"Player (7)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Caldwell-Pope                   Kentavious Caldwell-Pope","SG","34","FA","$32,432,250","18.61%","'-","","","Bird",""
"Hendricks                   Taylor Hendricks","PF","24","RK-1ST","$23,417,700","13.44%","$11,357,585","","","Restricted Bird",""
"Clarke                   Brandon Clarke","PF","31","RK-EXT","$18,750,000","10.76%","'-","","","Bird",""
"Anderson                   Kyle Anderson","PF","34","S&T","$18,351,218","10.53%","'-","","","Bird",""
"Jackson                   G.G. Jackson","PF","23","ROS","$2,786,631","1.60%","'-","","","Bird",""
"Mashack                   Jahmai Mashack","F","25","2W","$2,308,823","1.32%","$2,308,823","","","Two-Way",""
"Small                   Javon Small","G","25","2W","$2,301,485","1.32%","$2,301,485","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $4,303,890"," "," "," "," "," "," "

