" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Durant                     Kevin Durant","SF","36","$51,179,021","36.40%","$51,179,021","$51,179,021","$49,856,021","$49,856,021","2028"
"2","Beal                     Bradley Beal","SG","31","$50,203,930","35.71%","$50,203,930","$50,203,930","$50,203,930","$50,203,930","2027"
"3","Booker                     Devin Booker","SG","28","$49,205,800","35.00%","$49,205,800","$49,205,800","$49,205,800","$49,205,800","2030"
"4","Allen                     Grayson Allen","SG","29","$15,625,000","11.11%","$15,625,000","$15,625,000","$15,625,000","$15,625,000","2028"
"5","O'Neale                     Royce O'Neale","SF","31","$9,375,000","6.67%","$9,875,000","$9,375,000","$9,375,000","$9,375,000","2028"
"6","Martin                     Cody Martin","SF","29","$8,120,000","5.78%","$8,120,000","$8,120,000","$3,080,000","$8,120,000","2026"
"7","Micic                     Vasilije Micic","PG","31","$7,723,000","5.49%","$7,723,000","$7,723,000","$2,929,414","$7,723,000","2026"
"8","Richards                     Nick Richards","C","27","$5,000,000","3.56%","$5,000,000","$5,000,000","$2,528,736","$5,000,000","2026"
"9","Dunn                     Ryan Dunn","SF","22","$2,530,800","1.80%","$2,530,800","$2,530,800","$2,530,800","$2,530,800","2028"
"10","Plumlee                     Mason Plumlee","C","34","$2,087,519","1.48%","$2,087,519","$2,087,519","$3,303,771","$3,303,771","2026"
"11","Jones                     Tyus Jones","PG","28","$2,087,519","1.48%","$2,087,519","$2,087,519","$3,003,427","$3,003,427","2026"
"12","Lee                     Damion Lee","SG","32","$2,087,519","1.48%","$2,087,519","$2,087,519","$2,800,834","$2,800,834","2025"
"13","Morris                     Monte Morris","PG","29","$2,087,519","1.48%","$2,087,519","$2,087,519","$2,800,834","$2,800,834","2025"
"14","Bol                     Bol Bol","PF","25","$2,087,519","1.48%","$2,087,519","$2,087,519","$2,425,403","$2,425,403","2025"
"15","Ighodaro                     Oso Ighodaro","C","22","$1,157,153","0.82%","$1,157,153","$1,157,153","$1,157,153","$1,157,153","2028"
"16","Washington Jr.                     TyTy Washington Jr.","PG","23","Two-Way","'-","'-","'-","'-","'-","2026"
"17","Gillespie                     Collin Gillespie","PG","25","Two-Way","'-","'-","'-","'-","'-","2026"
"18","Bridges                     Jalen Bridges","SG","23","Two-Way","'-","'-","'-","'-","'-","2025"

