" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Hickson                     J.J Hickson","PF","27","$5,217,258","7.45%","$5,217,258","$5,217,258","$5,217,258","'-"
"2","Novak                     Steve Novak","SF","32","$3,333,115","4.76%","$3,333,115","$3,333,115","$3,333,115","'-"
"3","Johnson                     Nick Johnson","SG","23","$845,059","1.21%","$845,059","$845,059","$845,059","'-"
"4","Dorsey                     Joey Dorsey","PF","32","$815,421","1.16%","$815,421","$815,421","$815,421","'-"
"5","Prigioni                     Pablo Prigioni","PG","38","$440,000","0.63%","$440,000","$440,000","$440,000","'-"
"6","Papanikolaou                     Kostas Papanikolaou","SF","25","$350,000","0.50%","$350,000","$350,000","$350,000","'-"
"7","Green                     Erick Green","PG","24","$100,000","0.14%","$100,000","$100,000","$100,000","'-"
"8","Kilpatrick                     Sean Kilpatrick","SG","26","$49,709","0.07%","$49,709","$49,709","$49,709","$49,709"
"9","Kilpatrick                     Sean Kilpatrick","SG","26","$49,709","0.07%","$49,709","$49,709","$49,709","$49,709"
"10","Toupane                     Axel Toupane","SG","23","$30,888","0.04%","$30,888","$30,888","$30,888","$30,888"
"11","Toupane                     Axel Toupane","SG","23","$30,888","0.04%","$30,888","$30,888","$30,888","$30,888"

