" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Brown                     Shannon Brown","PG","29","$238,935","0.38%","$238,935","$238,935","$238,935","'-"
"2","Dawkins                     Andre Dawkins","SG","23","$217,856","0.35%","$217,856","$217,856","$217,856","'-"
"3","Johnson                     Tyler Johnson","SG","22","$75,000","0.12%","$75,000","$75,000","$75,000","'-"
"4","Beasley                     Michael Beasley","SF","26","$53,838","0.09%","$53,838","$53,838","$67,393","'-"
"5","Beasley                     Michael Beasley","SF","26","$53,838","0.09%","$53,838","$53,838","$67,393","'-"
"6","Walker                     Henry Walker","PG","27","$53,838","0.09%","$53,838","$53,838","$57,711","'-"
"7","Walker                     Henry Walker","PG","27","$53,838","0.09%","$53,838","$53,838","$57,711","'-"
"8","Birch                     Khem Birch","C","22","$50,000","0.08%","$50,000","$50,000","$50,000","'-"
"9","Johnson                     Tyler Johnson","SG","22","$29,843","0.05%","$29,843","$29,843","$29,843","$29,843"
"10","Johnson                     Tyler Johnson","SG","22","$29,843","0.05%","$29,843","$29,843","$29,843","$29,843"
"11","Drew II                     Larry Drew II","PG","24","$25,000","0.04%","$25,000","$25,000","$25,000","'-"

