" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Plumlee                     Miles Plumlee","C","31","$12,500,000","11.45%","$12,500,000","$12,500,000","$12,500,000","'-"
"2","Waiters                     Dion Waiters","SG","28","$12,100,000","11.09%","$12,100,000","$12,100,000","$4,785,311","'-"
"3","Howard                     Dwight Howard","C","34","$3,039,097","2.78%","$3,039,097","$3,039,097","$3,039,097","'-"
"4","Bradley                     Avery Bradley","SG","29","$2,000,000","1.83%","$2,000,000","$2,000,000","$2,000,000","'-"
"5","Bell                     Jordan Bell","C","25","$1,620,564","1.48%","$1,620,564","$1,620,564","$640,901","'-"
"6","Johnson                     Dakari Johnson","C","24","$459,414","0.42%","$459,414","$459,414","$459,414","'-"
"7","Rabb                     Ivan Rabb","PF","22","$371,758","0.34%","$371,758","$371,758","$371,758","'-"
"8","Uthoff                     Jarrod Uthoff","PF","26","$81,678","0.07%","$81,678","$91,557","$81,678","$81,678"
"9","Hannahs                     Dusty Hannahs","G","26","$81,678","0.07%","$81,678","$91,557","$81,678","$81,678"

