" ","Player (5)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","George                     Keyonte George","SG","24","$19,691,775","11.30%","","","","","Restricted Bird"
"2","Sensabaugh                     Brice Sensabaugh","SF","24","$14,586,711","8.37%","","","","","Restricted Bird"
"3","Konchar                     John Konchar","SG","31","$11,713,500","6.72%","","","","","Bird"
"4","Williams Jr.                     Vincent Williams Jr.","SF","27","$4,730,529","2.71%","","","","","Bird"
"5","Hinson                     Blake Hinson","SG","28","$2,308,823","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $7,173,150"," "," "," "," "," "," "

