" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Collins                     John Collins","PF","26","$25,340,000","18.63%","$25,340,000","$25,340,000","$25,340,000","$25,340,000","2026"
"2","Clarkson                     Jordan Clarkson","SG","31","$23,487,629","17.27%","$24,003,120","$23,487,629","$23,487,629","$23,487,629","2026"
"3","Sexton                     Collin Sexton","PG","25","$17,525,000","12.88%","$17,825,000","$17,525,000","$17,525,000","$17,325,000","2026"
"4","Markkanen                     Lauri Markkanen","PF","26","$17,259,999","12.69%","$17,259,999","$17,259,999","$17,259,999","$17,259,999","2029"
"5","Horton-Tucker                     Talen Horton-Tucker","SG","23","$11,020,000","8.10%","$11,020,000","$11,020,000","$11,020,000","$11,020,000","2024"
"6","Lewis Jr.                     Kira Lewis Jr.","PG","22","$5,722,116","4.21%","$5,722,116","$5,722,116","$2,170,458","$5,722,116","2024"
"7","Hendricks                     Taylor Hendricks","PF","20","$5,569,920","4.09%","$5,569,920","$5,569,920","$5,569,920","$5,569,920","2027"
"8","George                     Keyonte George","SG","20","$3,889,800","2.86%","$3,889,800","$3,889,800","$3,889,800","$3,889,800","2027"
"9","Kessler                     Walker Kessler","C","22","$2,831,160","2.08%","$2,831,160","$2,831,160","$2,831,160","$2,831,160","2026"
"10","Yurtseven                     Omer Yurtseven","C","25","$2,800,000","2.06%","$2,800,000","$2,800,000","$2,800,000","$2,800,000","2025"
"11","Dunn                     Kris Dunn","PG","29","$2,586,665","1.90%","$2,586,665","$2,568,826","$2,586,665","$2,586,665","2027"
"12","Sensabaugh                     Brice Sensabaugh","SF","20","$2,448,600","1.80%","$2,448,600","$2,448,600","$2,448,600","$2,448,600","2027"
"13","Samanic                     Luka Samanic","PF","24","$2,066,585","1.52%","$2,066,585","$2,066,585","$2,066,585","$2,066,585","2024"
"14","Bazley                     Darius Bazley","PF","23","$500,000","0.37%","$500,000","$500,000","$500,000","$500,000","2026"
"15","Lofton Jr.                     Kenneth Lofton Jr.","PF","21","$500,000","0.37%","$500,000","$500,000","$500,000","$500,000","2026"
"16","Preston                     Jason Preston","PG","24","Two-Way","'-","'-","'-","'-","'-","2025"
"17","Potter                     Micah Potter","C","25","Two-Way","'-","'-","'-","'-","'-","2027"
"18","Juzang                     Johnny Juzang","SG","22","Two-Way","'-","'-","'-","'-","'-","2026"

