"Player (12)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Murphy III                   Trey Murphy III","SF","29","RK-EXT","$46,500,000","24.20%","'-","","","Bird",""
"Fears                   Jeremiah Fears","PG","23","RK-1ST","$31,516,167","16.40%","$15,138,266","","","Restricted Bird",""
"Queen                   Derik Queen","C","25","RK-1ST","$24,323,754","12.66%","$12,024,042","","","Restricted Bird",""
"Hernangomez                   Willy Hernangomez","C","35","FA","$4,642,804","2.42%","'-","","","Bird",""
"Peavy                   Micah Peavy","SG","28","RK-2ND","$2,979,736","1.55%","'-","","","Bird",""
"Snell                   Tony Snell","SG","38","FA","$2,853,371","1.48%","'-","","","Non-Bird",""
"Payton                   Elfrid Payton","PG","35","ROS","$2,853,371","1.48%","'-","","","Early Bird",""
"Boston Jr                   Brandon Boston Jr","SG","28","ROS","$2,853,371","1.48%","'-","","","Early Bird",""
"Nunnally                   James Nunnally","SF","39","2W","$2,545,477","1.32%","'-","","","Two-Way",""
"Harper                   Jared Harper","PG","32","2W","$2,545,477","1.32%","'-","","","Two-Way",""
"Clark                   Gary Clark","PF","35","2W","$2,545,477","1.32%","'-","","","Non-Bird",""
"Brooks Jr.                   Keion Brooks Jr.","SF","","2W","$2,545,477","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $17,398,480"," "," "," "," "," "," "

