"Player (10)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Sabonis                   Domantas Sabonis","PF","32","VET-EXT","$72,912,000","39.84%","'-","","","Bird",""
"Monk                   Malik Monk","SG","30","FA","$32,373,677","17.69%","'-","","","Bird",""
"Carter                   Devin Carter","PG","26","RK-1ST","$22,112,691","12.08%","$10,931,040","","","Restricted Bird",""
"Lyles                   Trey Lyles","PF","33","FA","$15,200,000","8.31%","'-","","","Bird",""
"Raynaud                   Maxime Raynaud","C","25","RK-2ND","$3,409,966","1.86%","$3,409,967","","","Restricted Bird",""
"McGee                   JaVale McGee","C","41","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Fultz                   Markelle Fultz","PG","30","ROS","$2,717,496","1.48%","'-","","","Non-Bird",""
"Crowder                   Jae Crowder","SF","38","ROS","$2,717,496","1.48%","'-","","","Non-Bird",""
"Jones                   Mason Jones","SG","30","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Ford                   Jordan Ford","PG","30","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $15,063,620"," "," "," "," "," "," "

