" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Bayless                     Jerryd Bayless","PG","28","$9,424,084","10.01%","$9,424,084","$9,424,084","$9,424,084","$9,424,084","2019"
"2","Henderson                     Gerald Henderson","SG","29","$9,000,000","9.56%","$9,000,000","$9,000,000","$9,000,000","'-","2018"
"3","Splitter                     Tiago Splitter","PF","32","$8,550,000","9.08%","$8,550,000","$8,550,000","$2,377,941","'-","2017"
"4","Rodriguez                     Sergio Rodriguez","SG","30","$8,000,000","8.50%","$8,000,000","$8,000,000","$8,000,000","'-","2017"
"5","Simmons                     Ben Simmons","PG","20","$5,903,160","6.27%","$5,903,160","$5,903,160","$5,903,160","$5,903,160",""
"6","Embiid                     Joel Embiid","C","22","$4,826,160","5.13%","$4,826,160","$4,826,160","$4,826,160","$4,826,160","2029"
"7","Okafor                     Jahlil Okafor","C","21","$4,788,840","5.09%","$4,788,840","$4,788,840","$4,788,840","$4,788,840","2018"
"8","Stauskas                     Nik Stauskas","SG","23","$2,993,040","3.18%","$2,993,040","$2,993,040","$2,993,040","$2,993,040","2018"
"9","Saric                     Dario Saric","PF","22","$2,318,280","2.46%","$2,318,280","$2,318,280","$2,318,280","$2,318,280","2026"
"10","Anderson                     Justin Anderson","SG","23","$1,514,160","1.61%","$1,514,160","$1,514,160","$436,434","$1,514,160","2019"
"11","Luwawu-Cabarrot                     Timothe Luwawu-Cabarrot","SG","21","$1,326,960","1.41%","$1,326,960","$1,326,960","$1,326,960","$1,326,960","2019"
"12","Holmes                     Richaun Holmes","C","23","$1,025,831","1.09%","$1,025,831","$1,025,831","$1,025,831","$1,025,831","2019"
"13","Covington                     Robert Covington","SF","26","$1,015,696","1.08%","$1,015,696","$1,015,696","$1,015,696","$1,015,696","2018"
"14","McConnell                     T.J. McConnell","PG","24","$874,636","0.93%","$874,636","$874,636","$874,636","$874,636","2029"
"15","Long                     Shawn Long","PF","24","$89,513","0.10%","$89,513","$161,483","$89,513","$89,513","2019"
"16","Poythress                     Alex Poythress","SF","23","$6,394","0.01%","$6,394","$11,534","$6,394","'-","2017"

