" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Aldridge                     LaMarcus Aldridge","PF","35","$554,988","0.51%","$554,988","$554,988","$878,340","'-"
"2","Shumpert                     Iman Shumpert","SG","30","$447,155","0.41%","$447,155","$447,155","$447,155","'-"
"3","Vonleh                     Noah Vonleh","PF","25","$263,995","0.24%","$263,995","$263,995","$263,995","'-"
"4","Pelle                     Norvel Pelle","PF","27","$217,845","0.20%","$217,845","$244,195","$217,845","'-"
"5","Roberson                     Andre Roberson","SG","29","$163,818","0.15%","$163,818","$163,818","$163,818","'-"
"6","Shumpert                     Iman Shumpert","SG","30","$110,998","0.10%","$110,998","$110,998","$159,698","$159,698"
"7","Roberson                     Andre Roberson","SG","29","$110,998","0.10%","$110,998","$110,998","$138,945","$138,945"
"8","Johnson                     Alize Johnson","PF","24","$110,998","0.10%","$110,998","$110,998","$110,998","$110,998"
"9","Johnson                     Alize Johnson","PF","24","$110,998","0.10%","$110,998","$110,998","$110,998","$110,998"
"10","James                     Mike James","PG","30","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"11","James                     Mike James","PG","30","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"12","Cook                     Tyler Cook","PF","23","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"

