"Player (10)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Brooks                   Dillon Brooks","SF","32","S&T","$31,489,091","18.07%","'-","","","Bird",""
"Young                   Thaddeus Young","PF","39","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Thomas                   Isaiah Thomas","PG","38","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Ross                   Terrence Ross","SF","36","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Lee                   Saben Lee","PG","28","2W","$2,588,091","1.48%","'-","","","Two-Way",""
"Lee                   Damion Lee","SG","35","FA","$2,588,091","1.48%","'-","","","Early Bird",""
"Bol                   Bol Bol","PF","28","FA","$2,588,091","1.48%","'-","","","",""
"Wainright                   Ishmail Wainright","SF","33","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Lundberg                   Gabriel Lundberg","G","33","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Azubuike                   Udoka Azubuike","C","28","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $5,738,520"," "," "," "," "," "," "

