"Player (3)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Gilgeous-Alexander                   Shai Gilgeous-Alexander","PG","33","DVET-EXT","$74,152,050","35.00%","'-","","","Bird",""
"Williams                   Jalen Williams","SF","30","DRK-EXT","$63,558,900","30.00%","'-","","","Bird",""
"Holmgren                   Chet Holmgren","C","29","rookie-maximum-extension","$63,558,900","30.00%","'-","","","",""

