"Player (3 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Murray                   Jamal Murray","PG","31","VET-EXT","$57,528,684","31.43%","$57,528,684","'-","'-","'-","$57,528,684"
"Gordon                   Aaron Gordon","PF","33","VET-EXT","$37,094,523","20.27%","$37,094,523","'-","$1,948,800","'-","$37,094,523"
"Braun                   Christian Braun","SG","27","RK-EXT","$25,000,000","13.66%","$25,000,000","'-","'-","'-","$25,000,000"

