" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Hayward                     Gordon Hayward","SF","30","$28,500,000","26.11%","$28,500,000","$28,500,000","$28,500,000","$28,500,000","2024"
"2","Rozier                     Terry Rozier","PG","26","$18,900,000","17.32%","$18,900,000","$18,900,000","$18,900,000","$18,900,000","2026"
"3","Zeller                     Cody Zeller","C","28","$15,415,730","14.12%","$15,415,730","$15,415,730","$15,415,730","$15,415,730","2021"
"4","Ball                     LaMelo Ball","PG","19","$7,839,960","7.18%","$7,839,960","$7,839,960","$7,839,960","$7,839,960","2029"
"5","Monk                     Malik Monk","SG","22","$5,345,687","4.90%","$5,345,687","$5,345,687","$5,345,687","$5,345,687","2028"
"6","Washington                     PJ Washington","PF","22","$4,023,600","3.69%","$4,023,600","$4,023,600","$4,023,600","$4,023,600","2030"
"7","Bridges                     Miles Bridges","SF","22","$3,934,320","3.60%","$3,934,320","$3,934,320","$3,934,320","$3,934,320","2027"
"8","Biyombo                     Bismack Biyombo","C","28","$3,500,000","3.21%","$3,500,000","$3,500,000","$3,500,000","$3,500,000","2026"
"9","Wanamaker                     Brad Wanamaker","PG","31","$2,250,000","2.06%","$2,250,000","$2,250,000","$816,781","$2,250,000","2021"
"10","Graham                     Devonte' Graham","PG","25","$1,663,861","1.52%","$1,663,861","$1,663,861","$1,663,861","$1,663,861","2021"
"11","Martin                     Cody Martin","SF","25","$1,517,981","1.39%","$1,517,981","$1,517,981","$1,517,981","$1,517,981","2022"
"12","McDaniels                     Jalen McDaniels","SF","23","$1,517,981","1.39%","$1,517,981","$1,517,981","$1,517,981","$1,517,981","2023"
"13","Martin                     Caleb Martin","SF","25","$1,517,981","1.39%","$1,517,981","$1,517,981","$1,517,981","$1,517,981","2022"
"14","Carey Jr.                     Vernon Carey Jr.","C","19","$1,350,000","1.24%","$1,350,000","$1,350,000","$1,350,000","$1,350,000","2024"
"15","Richards                     Nick Richards","C","23","$1,000,000","0.92%","$1,000,000","$1,000,000","$1,000,000","$1,000,000","2026"
"16","Riller                     Grant Riller","PG","23","Two-Way","'-","'-","'-","'-","'-","2021"
"17","Darling                     Nate Darling","SG","22","Two-Way","'-","'-","'-","'-","'-","2021"

