" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Mitchell                     Donovan Mitchell","SG","29","$46,394,100","30.00%","$46,394,100","$46,394,100","$46,394,100","$46,394,100","2028"
"2","Mobley                     Evan Mobley","PF","24","$46,394,100","30.00%","$46,394,100","$46,394,100","$46,394,100","$46,394,100","2030"
"3","Harden                     James Harden","SG","36","$39,182,693","25.34%","$39,182,693","$39,182,693","$15,312,777","$39,182,693","2027"
"4","Allen                     Jarrett Allen","C","27","$20,000,000","12.93%","$20,000,000","$20,000,000","$20,000,000","$20,000,000","2029"
"5","Strus                     Max Strus","SG","29","$15,936,452","10.31%","$15,936,452","$15,936,452","$15,936,452","$15,936,452","2027"
"6","Schröder                     Dennis Schröder","PG","32","$14,104,000","9.12%","$14,104,000","$13,958,097","$5,755,080","$14,104,000","2028"
"7","Merrill                     Sam Merrill","SG","29","$8,482,144","5.48%","$8,482,144","$8,482,144","$8,482,144","$8,482,144","2029"
"8","Wade                     Dean Wade","PF","29","$6,623,456","4.28%","$6,623,456","$6,623,456","$6,623,456","$6,623,456","2026"
"9","Tyson                     Jaylon Tyson","SG","23","$3,492,480","2.26%","$3,492,480","$3,492,480","$3,492,480","$3,492,480","2028"
"10","Ellis                     Keon Ellis","SF","26","$2,301,587","1.49%","$2,301,587","$2,301,587","$939,153","$2,301,587","2026"
"11","Nance Jr.                     Larry Nance Jr.","PF","33","$2,296,274","1.48%","$2,296,274","$2,296,274","$3,634,153","$3,634,153","2026"
"12","Bryant                     Thomas Bryant","C","28","$2,296,274","1.48%","$2,296,274","$2,296,274","$3,287,409","$3,287,409","2026"
"13","Porter Jr.                     Craig Porter Jr.","G","25","$2,221,677","1.44%","$2,221,677","$2,221,677","$2,221,677","$2,221,677","2027"
"14","Proctor                     Tyrese Proctor","SG","21","$1,272,870","0.82%","$1,272,870","$1,272,870","$1,272,870","$1,272,870","2029"
"15","Tomlin                     Nae'qwan Tomlin","F","25","$718,150","0.46%","$718,150","$805,016","$718,150","$718,150","2027"

