" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Drummond                     Andre Drummond","C","27","$27,957,238","25.62%","$27,957,238","$27,957,238","$27,957,238","'-"
"2","Smith                     J.R. Smith","SG","35","$1,456,667","1.33%","$1,456,667","$1,456,667","$1,456,667","'-"
"3","Tucker                     Rayjon Tucker","SF","23","$340,000","0.31%","$340,000","$340,000","$340,000","'-"
"4","Maker                     Thon Maker","C","23","$309,355","0.28%","$309,355","$309,355","$309,355","'-"
"5","Varejao                     Anderson Varejao","PF","38","$110,998","0.10%","$110,998","$110,998","$175,668","$175,668"
"6","Cook                     Quinn Cook","PG","27","$110,998","0.10%","$110,998","$110,998","$118,983","$118,983"
"7","Cook                     Quinn Cook","PG","27","$110,998","0.10%","$110,998","$110,998","$118,983","$118,983"
"8","Ferrell                     Yogi Ferrell","PG","27","$110,998","0.10%","$110,998","$110,998","$118,983","$118,983"
"9","Kabengele                     Mfiondu Kabengele","PF","23","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"10","Kabengele                     Mfiondu Kabengele","PF","23","$99,020","0.09%","$99,020","$110,998","$99,020","$99,020"
"11","Varejao                     Anderson Varejao","PF","38","$33,299","0.03%","$33,299","$33,299","$52,700","$52,700"

