"Player (15 of 15 + 2 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"George                   Paul George","SF","30","FA","$35,450,412","32.48%","$35,450,412","'-","'-","'-","$35,450,412"
"Leonard                   Kawhi Leonard","SF","29","FA","$34,379,100","31.50%","$34,379,100","'-","'-","'-","$34,379,100"
"Morris Sr.                   Marcus Morris Sr.","SF","31","FA","$14,883,721","13.64%","$14,883,721","'-","'-","'-","$14,883,721"
"Beverley                   Patrick Beverley","PG","32","FA","$13,333,333","12.22%","$13,333,333","'-","'-","'-","$13,333,333"
"Ibaka                   Serge Ibaka","C","31","FA","$9,258,000","8.48%","$9,258,000","'-","'-","'-","$9,258,000"
"Rondo                   Rajon Rondo","PG","34","FA","$8,250,000","7.56%","$7,500,000","$750,000","'-","'-","$7,500,000"
"Zubac                   Ivica Zubac","C","23","FA","$7,000,000","6.41%","$7,000,000","'-","'-","'-","$7,000,000"
"Kennard                   Luke Kennard","SG","24","RK-1ST","$5,273,826","4.83%","$5,273,826","'-","'-","'-","$5,273,826"
"Patterson                   Patrick Patterson","PF","31","FA","$3,077,704","2.82%","$3,077,704","'-","'-","'-","$3,077,704"
"Jackson                   Reggie Jackson","PG","30","FA","$1,620,564","1.48%","$2,331,593","'-","'-","'-","$2,331,593"
"Batum                   Nicolas Batum","SF","32","FA","$1,620,564","1.48%","$2,564,753","'-","'-","'-","$2,564,753"
"Mann                   Terance Mann","SG","24","RK","$1,517,981","1.39%","$1,517,981","'-","'-","'-","'-"
"Oturu                   Daniel Oturu","C","21","RK","$898,310","0.82%","$898,310","'-","'-","'-","$898,310"
"Cousins                   DeMarcus Cousins","C","30","ROS","$233,095","0.21%","$335,366","'-","'-","'-","$335,366"
"Ferrell                   Yogi Ferrell","PG","27","ROS","$214,169","0.20%","$214,169","'-","'-","'-","$214,169"
"Scrubb                   Jay Scrubb","SG","20","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Coffey                   Amir Coffey","SG","23","2W","Two-Way","'-","'-","'-","'-","'-","'-"

