" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Holiday                     Jrue Holiday","PG","33","$37,620,347","27.66%","$41,262,747","$37,620,347","$37,620,347","$34,954,667","2028"
"2","Porzingis                     Kristaps Porzingis","PF","28","$36,016,200","26.48%","$36,016,200","$36,016,200","$36,016,200","$36,016,200","2026"
"3","Tatum                     Jayson Tatum","PF","25","$32,600,060","23.97%","$32,600,060","$32,600,060","$32,600,060","$32,600,060","2030"
"4","Brown                     Jaylen Brown","SF","27","$31,830,357","23.40%","$31,830,357","$31,830,357","$31,830,357","$28,508,928","2029"
"5","White                     Derrick White","PG","29","$18,857,143","13.86%","$18,857,143","$18,857,143","$18,857,143","$17,607,143","2029"
"6","Horford                     Al Horford","C","37","$10,000,000","7.35%","$10,000,000","$10,000,000","$10,000,000","$10,000,000","2027"
"7","Pritchard                     Payton Pritchard","PG","26","$4,037,278","2.97%","$4,037,278","$4,037,278","$4,037,278","$4,037,278","2028"
"8","Kornet                     Luke Kornet","C","28","$2,413,304","1.77%","$2,413,304","$2,413,304","$2,413,304","$2,413,304","2029"
"9","Springer                     Jaden Springer","PG","21","$2,226,240","1.64%","$2,226,240","$2,226,240","$1,524,207","$2,226,240","2025"
"10","Brissett                     Oshae Brissett","SF","25","$2,165,000","1.59%","$2,165,000","$2,165,000","$2,165,000","$2,165,000","2024"
"11","Mykhailiuk                     Sviatoslav Mykhailiuk","SG","26","$2,019,706","1.48%","$2,019,706","$2,019,706","$2,346,614","$2,346,614","2024"
"12","Tillman                     Xavier Tillman","C","25","$1,930,681","1.42%","$1,930,681","$1,930,681","$743,423","$1,930,681","2024"
"13","Hauser                     Sam Hauser","SF","26","$1,927,896","1.42%","$1,927,896","$1,927,896","$1,927,896","$1,927,896","2029"
"14","Walsh                     Jordan Walsh","SF","19","$1,119,563","0.82%","$1,119,563","$1,119,563","$1,119,563","$1,119,563","2027"
"15","Queta                     Neemias Queta","C","24","$81,253","0.06%","$81,253","$81,253","$81,253","$81,253","2027"
"16","Davison                     J.D. Davison","PG","21","Two-Way","'-","'-","'-","'-","'-","2026"
"17","Peterson                     Drew Peterson","F","24","Two-Way","'-","'-","'-","'-","'-","2024"

