" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Jordan                     DeAndre Jordan","C","30","$22,897,200","22.48%","$22,897,200","$22,897,200","$9,055,390","$22,897,200","2019"
"2","Thomas                     Lance Thomas","SF","30","$7,119,650","6.99%","$7,119,650","$7,119,650","$7,119,650","$7,119,650","2020"
"3","Hezonja                     Mario Hezonja","SG","23","$6,500,000","6.38%","$6,500,000","$6,500,000","$6,500,000","$6,500,000","2019"
"4","Mudiay                     Emmanuel Mudiay","PG","22","$4,294,480","4.22%","$4,294,480","$4,294,480","$4,294,480","$4,294,480","2019"
"5","Ntilikina                     Frank Ntilikina","PG","20","$4,155,720","4.08%","$4,155,720","$4,155,720","$4,155,720","$4,155,720","2021"
"6","Smith Jr.                     Dennis Smith Jr.","PG","21","$3,819,960","3.75%","$3,819,960","$3,819,960","$1,510,719","$3,819,960","2021"
"7","Knox                     Kevin Knox","SF","19","$3,739,920","3.67%","$3,739,920","$3,739,920","$3,739,920","$3,739,920","2022"
"8","Trier                     Allonzo Trier","SG","23","$3,382,000","3.32%","$3,382,000","$3,382,000","$3,382,000","$3,382,000","2020"
"9","Kornet                     Luke Kornet","PF","23","$1,619,260","1.59%","$1,619,260","$1,619,260","$1,619,260","$1,619,260","2029"
"10","Vonleh                     Noah Vonleh","PF","23","$1,512,601","1.48%","$1,512,601","$1,512,601","$1,621,415","$1,621,415","2019"
"11","Robinson                     Mitchell Robinson","C","20","$1,485,440","1.46%","$1,485,440","$1,485,440","$1,485,440","$1,485,440","2026"
"12","Dotson                     Damyean Dotson","SG","24","$1,378,242","1.35%","$1,378,242","$1,378,242","$1,378,242","$1,378,242","2020"
"13","Jenkins                     John Jenkins","SG","27","$486,520","0.48%","$486,520","$486,520","$486,520","$486,520","2020"
"14","Ellenson                     Henry Ellenson","PF","22","$341,831","0.34%","$341,831","$341,831","$341,831","$341,831","2020"
"15","Garrett                     Billy Garrett","SG","24","$42,634","0.04%","$42,634","$42,634","$42,634","'-","2019"
"16","Allen                     Kadeem Allen","SG","26","Two-Way","'-","'-","'-","'-","'-","2020"
"17","Hicks                     Isaiah Hicks","PF","24","Two-Way","'-","'-","'-","'-","'-","2019"

