" ","Player (5)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Armstrong                     Hilton Armstrong","C","29","$126,917","0.22%","$126,917","$126,917","$126,917","'-"
"2","Curry                     Seth Curry","SG","23","$75,000","0.13%","$75,000","$75,000","$75,000","'-"
"3","Dedmon                     Dewayne Dedmon","C","24","$57,668","0.10%","$57,668","$57,668","$57,668","'-"
"4","Armstrong                     Hilton Armstrong","C","29","$52,017","0.09%","$52,017","$52,017","$60,437","'-"
"5","Dedmon                     Dewayne Dedmon","C","24","$25,000","0.04%","$25,000","$25,000","$25,000","'-"

