"Player (3)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Beal                   Bradley Beal","SG","","","$19,383,010","11.68%","","","","",""
"Little                   Nassir Little","SF","","","$3,107,143","1.87%","","","","",""
"Liddell                   E.J. Liddell","PF","","","$706,898","0.43%","","","","",""

