"Player (7)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Delfino                   Carlos Delfino","SG","","","$650,000","0.93%","","","","",""
"Farmar                   Jordan Farmar","PG","","","$510,922","0.73%","","","","",""
"Raduljica                   Miroslav Raduljica","C","","","$252,042","0.36%","","","","",""
"Ayres                   Jeff Ayres","PF","","","$55,722","0.08%","","","","",""
"Ayres                   Jeff Ayres","PF","","","$55,722","0.08%","","","","",""
"Stepheson                   Alex Stepheson","PF","","","$30,888","0.04%","","","","",""
"Stepheson                   Alex Stepheson","PF","","","$30,888","0.04%","","","","",""

