" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Gallinari                     Danilo Gallinari","SF","28","$15,050,000","15.99%","$15,050,000","$15,050,000","$15,050,000","'-","2018"
"2","Faried                     Kenneth Faried","PF","27","$12,078,652","12.83%","$12,078,652","$12,078,652","$12,078,652","$12,078,652","2019"
"3","Chandler                     Wilson Chandler","SF","29","$11,233,146","11.93%","$11,233,146","$11,233,146","$11,233,146","$11,233,146","2019"
"4","Arthur                     Darrell Arthur","PF","28","$8,070,175","8.57%","$8,070,175","$8,070,175","$8,070,175","$8,070,175","2019"
"5","Hibbert                     Roy Hibbert","C","30","$5,000,000","5.31%","$5,000,000","$5,000,000","$1,622,188","'-","2017"
"6","Nelson                     Jameer Nelson","PG","34","$4,540,525","4.82%","$4,540,525","$4,540,525","$4,540,525","$4,540,525","2018"
"7","Barton                     Will Barton","SG","26","$3,533,333","3.75%","$3,533,333","$3,533,333","$3,533,333","$3,533,333","2018"
"8","Miller                     Mike Miller","SG","36","$3,500,000","3.72%","$3,500,000","$3,500,000","$3,500,000","$3,500,000","2018"
"9","Mudiay                     Emmanuel Mudiay","PG","20","$3,241,800","3.44%","$3,241,800","$3,241,800","$3,241,800","$3,241,800","2019"
"10","Murray                     Jamal Murray","PG","19","$3,210,840","3.41%","$3,210,840","$3,210,840","$3,210,840","$3,210,840","2029"
"11","Plumlee                     Mason Plumlee","C","26","$2,328,530","2.47%","$2,328,530","$2,328,530","$808,137","'-","2026"
"12","Hernangomez                     Juancho Hernangomez","PF","21","$1,987,440","2.11%","$1,987,440","$1,987,440","$1,987,440","$1,987,440","2020"
"13","Harris                     Gary Harris","SG","22","$1,655,880","1.76%","$1,655,880","$1,655,880","$1,655,880","$1,655,880","2027"
"14","Beasley                     Malik Beasley","SG","20","$1,627,320","1.73%","$1,627,320","$1,627,320","$1,627,320","$1,627,320","2020"
"15","Jokic                     Nikola Jokic","C","21","$1,358,500","1.44%","$1,358,500","$1,358,500","$1,358,500","$1,358,500","2028"

