" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Strus                     Max Strus","SG","31","$24,991,254","14.34%","","","","","Bird"
"2","Tomlin                     Nae'qwan Tomlin","F","27","$3,254,972","1.87%","","","","","Restricted Early Bird"
"3","Porter Jr.                     Craig Porter Jr.","G","27","$3,065,294","1.76%","","","","","Bird"
"4","Rondo                     Rajon Rondo","PG","41","$2,588,091","1.48%","","","","","Non-Bird"
"5","Davis                     Ed Davis","C","38","$2,588,091","1.48%","","","","","Non-Bird"
"6","Thompson                     Tristan Thompson","C","36","$2,588,091","1.48%","","","","","Early Bird"
"7","Neto                     Raul Neto","PG","35","$2,588,091","1.48%","","","","","Non-Bird"
"8","Jones                     Damian Jones","C","32","$2,588,091","1.48%","","","","","Early Bird"
"9","Okeke                     Chuma Okeke","PF","29","$2,588,091","1.48%","","","","","Non-Bird"
"10","Enaruna                     Tristan Enaruna","PF","26","$2,308,823","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $7,173,150"," "," "," "," "," "," "

