" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Casspi                     Omri Casspi","SF","28","$2,963,814","3.15%","$2,963,814","$2,963,814","$906,578","'-"
"2","Gee                     Alonzo Gee","SF","29","$1,400,000","1.49%","$1,400,000","$1,400,000","$1,400,000","'-"
"3","Stephenson                     Lance Stephenson","SG","26","$980,431","1.04%","$980,431","$980,431","$1,227,286","'-"
"4","Jones                     Terrence Jones","PF","25","$980,431","1.04%","$980,431","$980,431","$1,050,961","'-"
"5","Williams                     Reggie Williams","SF","30","$180,483","0.19%","$180,483","$180,483","$180,483","'-"
"6","Brown                     Anthony Brown","SF","24","$108,043","0.11%","$108,043","$108,043","$108,043","'-"
"7","Goodwin                     Archie Goodwin","SG","22","$95,595","0.10%","$95,595","$95,595","$95,595","'-"
"8","Thompson                     Hollis Thompson","SG","25","$59,747","0.06%","$59,747","$59,747","$59,747","$59,747"
"9","Jack                     Jarrett Jack","PG","33","$57,672","0.06%","$57,672","$57,672","$91,274","$91,274"
"10","Williams                     Reggie Williams","SF","30","$57,672","0.06%","$57,672","$57,672","$72,193","$72,193"
"11","Crawford                     Jordan Crawford","SG","28","$57,672","0.06%","$57,672","$57,672","$61,821","$61,821"
"12","Thompson                     Hollis Thompson","SG","25","$57,672","0.06%","$57,672","$57,672","$59,747","$59,747"
"13","Cook                     Quinn Cook","PG","23","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"14","Cook                     Quinn Cook","PG","23","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"15","Selden                     Wayne Selden","SG","22","$31,969","0.03%","$31,969","$31,969","$31,969","$31,969"

