"Player (15 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Paul                   Chris Paul","PG","30","VET-EXT","$21,468,696","30.67%","$21,468,696","'-","'-","'-","'-"
"Jordan                   DeAndre Jordan","C","27","FA","$19,689,000","28.13%","$19,689,000","'-","'-","'-","$19,689,000"
"Griffin                   Blake Griffin","PF","26","DRK-EXT","$18,907,725","27.01%","$18,907,725","'-","'-","'-","$18,907,725"
"Green                   Jeff Green","SF","29","","$9,300,000","13.29%","$9,200,000","$100,000","'-","'-","'-"
"Redick                   J.J. Redick","SG","31","S&T","$7,085,000","10.12%","$7,085,000","'-","'-","'-","$7,085,000"
"Crawford                   Jamal Crawford","SG","35","","$5,675,000","8.11%","$5,675,000","'-","'-","'-","'-"
"Pierce                   Paul Pierce","SF","38","","$3,376,000","4.82%","$3,376,000","'-","'-","'-","'-"
"Rivers                   Austin Rivers","SG","23","","$3,110,796","4.44%","$3,110,796","'-","'-","'-","$3,110,796"
"Wilcox                   C.J. Wilcox","SG","25","RK-1ST","$1,159,680","1.66%","$1,159,680","'-","'-","'-","'-"
"Johnson                   Wesley Johnson","SF","28","","$1,100,602","1.57%","$1,100,602","'-","'-","'-","$1,100,602"
"Aldrich                   Cole Aldrich","C","27","","$1,100,602","1.57%","$1,100,602","'-","'-","'-","$1,100,602"
"Prigioni                   Pablo Prigioni","PG","38","","$947,276","1.35%","$981,348","'-","'-","'-","'-"
"Mbah a Moute                   Luc Richard Mbah a Moute","PF","29","","$947,276","1.35%","$1,270,964","'-","'-","'-","'-"
"Dawson                   Brandon Dawson","SF","22","RK","$525,093","0.75%","$525,093","'-","'-","'-","'-"
"Ayres                   Jeff Ayres","PF","28","","$161,594","0.23%","$187,750","'-","'-","'-","'-"

