"Player (15 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Williams                   Jalen Williams","SF","25","DRK-EXT","$41,500,000","25.00%","$41,500,000","'-","'-","'-","$41,500,000"
"Holmgren                   Chet Holmgren","C","24","rookie-maximum-extension","$41,500,000","25.00%","$41,500,000","'-","'-","'-","$41,500,000"
"Gilgeous-Alexander                   Shai Gilgeous-Alexander","PG","28","DRK-EXT","$40,806,150","24.58%","$40,806,150","'-","'-","'-","$40,806,150"
"Hartenstein                   Isaiah Hartenstein","C","28","FA","$28,500,000","17.17%","$28,500,000","'-","'-","'-","'-"
"Caruso                   Alex Caruso","SG","32","VET-EXT","$19,550,160","11.78%","$19,550,160","'-","'-","'-","$19,550,160"
"Dort                   Luguentz Dort","SG","27","FA","$18,222,222","10.98%","$17,722,222","$500,000","$500,000","'-","'-"
"Joe                   Isaiah Joe","SG","27","FA","$11,323,006","6.82%","$11,323,006","'-","'-","'-","$11,323,006"
"Wiggins                   Aaron Wiggins","SG","28","FA","$9,224,300","5.56%","$8,831,776","$392,524","'-","'-","$8,831,776"
"Williams                   Jaylin Williams","C","24","VET-EXT","$7,774,648","4.68%","$7,774,648","'-","'-","'-","$7,774,648"
"Wallace                   Cason Wallace","PG","23","RK-1ST","$7,420,806","4.47%","$7,420,806","'-","'-","'-","$7,420,806"
"Williams                   Kenrich Williams","PF","32","VET-EXT","$7,163,000","4.32%","$7,163,000","'-","'-","'-","'-"
"Topic                   Nikola Topic","PG","21","RK-1ST","$5,429,760","3.27%","$5,429,760","'-","'-","'-","$5,429,760"
"Sorber                   Thomas Sorber","C","21","RK-1ST","$4,887,720","2.94%","$4,887,720","'-","'-","'-","$4,887,720"
"McCain                   Jared McCain","PG","22","RK-1ST","$4,422,600","2.66%","$4,422,600","'-","'-","'-","$4,422,600"
"Mitchell                   Ajay Mitchell","PG","24","FA","$2,850,000","1.72%","$2,850,000","'-","'-","'-","$1,500,000"

