"Player (5 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Giddey                   Josh Giddey","SG","25","FA","$25,000,000","14.34%","$25,000,000","'-","'-","'-","$25,000,000"
"Williams                   Patrick Williams","PF","26","FA","$18,000,000","10.33%","$18,000,000","'-","'-","'-","$18,000,000"
"Jones                   Tre Jones","PG","28","FA","$8,000,000","4.59%","$8,000,000","'-","'-","'-","'-"
"Buzelis                   Matas Buzelis","SF","23","RK-1ST","$7,584,283","4.35%","$7,584,283","'-","'-","'-","'-"
"Essengue                   Noa Essengue","PF","21","RK-1ST","$5,972,760","3.43%","$5,972,760","'-","'-","'-","'-"

