"Player (11)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Herro                   Tyler Herro","SG","28","RK-EXT","$48,863,400","28.03%","'-","","","Bird",""
"Wiggins                   Andrew Wiggins","SF","32","VET-EXT","$45,254,466","25.96%","'-","","","Bird",""
"Mitchell                   Davion Mitchell","PG","29","FA","$23,560,000","13.52%","'-","","","Bird",""
"Jaquez Jr.                   Jaime Jaquez Jr.","SF","26","RK-1ST","$17,817,423","10.22%","$9,021,556","","","Restricted Bird",""
"Larsson                   Pelle Larsson","SG","26","RK-2ND","$3,099,966","1.78%","$3,099,966","","","Restricted Bird",""
"Wade                   Dwyane Wade","SG","46","","$2,588,091","1.48%","'-","","","Early Bird",""
"Mickey                   Jordan Mickey","PF","33","","$2,588,091","1.48%","'-","","","Non-Bird",""
"Haslem                   Udonis Haslem","PF","47","FA","$2,588,091","1.48%","'-","","","Bird",""
"Christopher                   Josh Christopher","SG","26","2W","$2,588,091","1.48%","'-","","","Two-Way",""
"Burks                   Alec Burks","SG","36","FA","$2,579,865","1.48%","'-","","","Non-Bird",""
"Gardner                   Myron Gardner","G","26","2W","$2,301,485","1.32%","$2,301,485","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $10,042,410"," "," "," "," "," "," "

