" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Butler                     Jimmy Butler","SG","30","$32,742,000","30.00%","$32,742,000","$32,742,000","$30,695,625","$32,742,000","2027"
"2","Dragic                     Goran Dragic","PG","33","$19,217,900","17.61%","$19,217,900","$19,217,900","$18,016,781","$19,217,900","2020"
"3","Iguodala                     Andre Iguodala","SF","36","$17,185,185","15.75%","$17,185,185","$17,185,185","$5,722,327","$17,185,185","2020"
"4","Hill                     Solomon Hill","SF","28","$12,758,781","11.69%","$12,758,781","$12,758,781","$4,248,422","$12,758,781","2020"
"5","Olynyk                     Kelly Olynyk","C","28","$12,667,886","11.61%","$13,067,886","$12,667,886","$11,876,143","$11,667,886","2026"
"6","Leonard                     Meyers Leonard","C","27","$11,286,517","10.34%","$11,286,517","$11,286,517","$10,581,110","$11,286,517","2020"
"7","Crowder                     Jae Crowder","SF","29","$7,815,533","7.16%","$7,815,533","$7,815,533","$2,602,418","$7,815,533","2020"
"8","Herro                     Tyler Herro","SG","20","$3,640,200","3.34%","$3,640,200","$3,640,200","$3,412,688","$3,640,200","2027"
"9","Adebayo                     Bam Adebayo","C","22","$3,454,080","3.16%","$3,454,080","$3,454,080","$3,238,200","$3,454,080","2029"
"10","Jones Jr.                     Derrick Jones Jr.","SF","22","$1,645,357","1.51%","$1,645,357","$1,645,357","$1,542,522","$1,645,357","2027"
"11","Haslem                     Udonis Haslem","PF","39","$1,620,564","1.48%","$1,620,564","$1,620,564","$2,404,456","$2,564,753","2020"
"12","Robinson                     Duncan Robinson","PF","25","$1,416,852","1.30%","$1,416,852","$1,588,231","$1,328,299","$1,416,852","2028"
"13","Nunn                     Kendrick Nunn","PG","24","$1,416,852","1.30%","$1,416,852","$1,588,231","$1,328,299","$1,416,852","2021"
"14","Okpala                     KZ Okpala","SF","20","$898,310","0.82%","$898,310","$898,310","$842,166","$898,310","2022"
"15","Silva                     Chris Silva","F","23","$466,918","0.43%","$466,918","$842,327","$466,918","$466,918","2022"
"16","Vincent                     Gabe Vincent","G","23","Two-Way","'-","'-","'-","'-","'-","2026"
"17","Alexander                     Kyle Alexander","F","23","Two-Way","'-","'-","'-","'-","'-","2020"

