"Player (2)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Anthony                   Cole Anthony","PG","","","$3,700,000","2.23%","","","","",""
"Diakite                   Mamadi Diakite","PF","","","$464,050","0.28%","","","","",""

