" ","Player (19)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Ball                     Lonzo Ball","PG","27","$21,395,348","15.22%","$22,395,348","$21,395,348","$21,395,348","$21,395,348","2027"
"2","Vucevic                     Nikola Vucevic","C","34","$20,000,000","14.23%","$20,000,000","$20,000,000","$20,000,000","$20,000,000","2026"
"3","Williams                     Patrick Williams","PF","23","$18,000,000","12.80%","$18,000,000","$18,000,000","$18,000,000","$18,000,000","2029"
"4","Huerter                     Kevin Huerter","SG","26","$16,830,357","11.97%","$16,830,357","$16,830,357","$6,770,833","$16,830,357","2026"
"5","Collins                     Zach Collins","C","27","$16,741,200","11.91%","$16,741,200","$16,741,200","$6,734,966","$16,741,200","2026"
"6","White                     Coby White","PG","24","$12,000,000","8.54%","$13,333,333","$12,000,000","$12,000,000","$12,000,000","2026"
"7","Jones                     Tre Jones","PG","25","$9,104,167","6.48%","$9,583,334","$9,104,167","$3,662,596","$9,104,167","2028"
"8","Smith                     Jalen Smith","PF","24","$8,571,429","6.10%","$8,571,429","$8,571,429","$8,571,429","$8,571,429","2027"
"9","Giddey                     Josh Giddey","SG","22","$8,352,367","5.94%","$8,352,367","$8,352,367","$8,352,367","$8,352,367","2029"
"10","Dosunmu                     Ayo Dosunmu","PG","25","$7,000,000","4.98%","$7,000,000","$7,000,000","$7,000,000","$7,000,000","2026"
"11","Carter                     Jevon Carter","PG","29","$6,500,000","4.62%","$6,500,000","$6,500,000","$6,500,000","$6,500,000","2026"
"12","Buzelis                     Matas Buzelis","SF","20","$5,195,520","3.70%","$5,195,520","$5,195,520","$5,195,520","$5,195,520","2028"
"13","Terry                     Dalen Terry","SG","22","$3,510,480","2.50%","$3,510,480","$3,510,480","$3,510,480","$3,510,480","2026"
"14","Horton-Tucker                     Talen Horton-Tucker","SG","24","$2,087,519","1.48%","$2,087,519","$2,087,519","$2,425,403","$2,425,403","2025"
"15","Phillips                     Julian Phillips","SF","21","$1,891,857","1.35%","$1,891,857","$1,891,857","$1,891,857","$1,891,857","2027"
"16","Liddell                     E.J. Liddell","PF","24","Two-Way","'-","'-","'-","'-","'-","2026"
"17","Sanogo                     Adama Sanogo","PF","22","Two-Way","'-","'-","'-","'-","'-","2025"
"18","Miller                     Emanuel Miller","SF","24","Two-Way","'-","'-","'-","'-","'-","2026"
"19","Young                     Jahmir Young","PG","24","Two-Way","'-","'-","'-","'-","'-","2026"

