"Player (13 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Siakam                   Pascal Siakam","PF","32","FA","$48,924,624","29.47%","$48,924,624","'-","'-","'-","$48,924,624"
"Haliburton                   Tyrese Haliburton","PG","26","DRK-EXT","$48,924,624","29.47%","$48,924,624","'-","'-","'-","$48,924,624"
"Zubac                   Ivica Zubac","C","29","VET-EXT","$20,340,406","12.25%","$19,550,160","'-","'-","'-","$19,550,160"
"Nembhard                   Andrew Nembhard","PG","27","VET-EXT","$19,550,160","11.78%","$19,550,160","'-","'-","'-","$19,550,160"
"Toppin                   Obi Toppin","PF","28","FA","$15,000,000","9.04%","$15,000,000","'-","$480,000","'-","$15,000,000"
"Nesmith                   Aaron Nesmith","SF","27","RK-EXT","$11,000,000","6.63%","$11,000,000","'-","'-","'-","$11,000,000"
"McConnell                   T.J. McConnell","PG","34","VET-EXT","$11,000,000","6.63%","$11,000,000","'-","'-","'-","$11,000,000"
"Walker                   Jarace Walker","PF","23","RK-1ST","$8,478,542","5.11%","$8,478,542","'-","'-","'-","$8,478,542"
"Sheppard                   Ben Sheppard","SF","25","RK-1ST","$5,031,669","3.03%","$5,031,669","'-","'-","'-","$5,031,669"
"Potter                   Micah Potter","C","28","ROS","$2,801,346","1.69%","$2,801,346","'-","'-","'-","'-"
"Huff                   Jay Huff","C","28","","$2,667,944","1.61%","$2,667,944","'-","'-","'-","$379,382"
"Furphy                   Johnny Furphy","SG","22","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","$2,296,271"
"Jones                   Kam Jones","PG","24","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$1,075,459"

