"Player (2)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Beal                   Bradley Beal","SG","","","$19,383,010","10.09%","","","","",""
"Little                   Nassir Little","SF","","","$3,107,143","1.62%","","","","",""

