" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Cook                     Daequan Cook","SG","25","$3,090,942","5.33%","$3,090,942","$3,090,942","$3,090,942","'-"
"2","Forbes                     Gary Forbes","SF","27","$1,500,000","2.58%","$1,500,000","$1,500,000","$1,500,000","'-"
"3","Hayward                     Lazar Hayward","PF","26","$1,174,080","2.02%","$1,174,080","$1,174,080","$1,174,080","'-"
"4","Johnson                     JaJuan Johnson","PF","23","$1,089,240","1.88%","$1,089,240","$1,089,240","$1,089,240","'-"
"5","Livingston                     Shaun Livingston","PG","27","$1,000,000","1.72%","$1,000,000","$1,000,000","$1,000,000","'-"
"6","Brockman                     Jon Brockman","SF","","$1,000,000","1.72%","$1,000,000","$1,000,000","$1,000,000","'-"
"7","Honeycutt                     Tyler Honeycutt","SF","22","$809,875","1.40%","$809,875","$809,875","'-","'-"
"8","Fisher                     Derek Fisher","PG","38","$644,005","1.11%","$644,005","$644,005","$644,005","'-"
"9","Moore                     E'Twaun Moore","SG","23","$381,098","0.66%","$381,098","$381,098","$381,098","$381,098"
"10","Machado                     Scott Machado","PG","22","$200,585","0.35%","$200,585","$200,585","'-","'-"

