"Player (15 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Paul                   Chris Paul","PG","26","RK-EXT","$16,359,805","28.19%","$13,167,648","'-","'-","'-","'-"
"Jordan                   DeAndre Jordan","C","23","","$10,079,404","17.37%","$8,112,691","'-","'-","'-","$8,112,691"
"Williams                   Mo Williams","PG","29","","$8,500,000","14.64%","$6,841,463","'-","'-","'-","'-"
"Butler                   Caron Butler","SF","31","","$8,000,000","13.78%","$6,439,024","'-","'-","'-","'-"
"Griffin                   Blake Griffin","PF","22","RK-1ST","$5,731,080","9.87%","$4,612,820","'-","'-","'-","$4,612,820"
"Foye                   Randy Foye","SG","28","","$4,250,000","7.32%","$3,420,732","'-","'-","'-","'-"
"Gomes                   Ryan Gomes","SF","29","","$4,000,000","6.89%","$3,219,512","'-","'-","'-","'-"
"Hill                   Jordan Hill","C","24","RK","$2,855,760","4.92%","$2,298,539","'-","'-","'-","'-"
"Martin                   Kenyon Martin","PF","34","","$2,500,000","4.31%","$2,012,195","'-","'-","'-","'-"
"Billups                   Chauncey Billups","PG","35","","$2,000,000","3.45%","$1,609,756","'-","'-","'-","'-"
"Bledsoe                   Eric Bledsoe","PG","22","RK-1ST","$1,596,360","2.75%","$1,284,875","'-","'-","'-","$1,284,875"
"Evans                   Reggie Evans","PF","31","","$1,229,255","2.12%","$989,400","'-","'-","'-","'-"
"Thompkins                   Trey Thompkins","PF","21","RK","$473,604","0.82%","$381,193","'-","'-","'-","'-"
"Leslie                   Travis Leslie","SG","21","RK","$473,604","0.82%","$381,193","'-","'-","'-","'-"
"Simmons                   Bobby Simmons","SF","","","$242,467","0.42%","$370,759","'-","'-","'-","'-"

