"Player (2)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Thomas                   Isaiah Thomas","PG","","","$1,620,564","1.48%","","","","",""
"Noah                   Joakim Noah","C","","","$91,557","0.08%","","","","",""

