" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Mahinmi                     Ian Mahinmi","C","39","$23,175,077","14.99%","","","","","Bird"
"2","Nunn                     Kendrick Nunn","PG","30","$6,825,000","4.41%","","","","","Early Bird"
"3","Sessions                     Ramon Sessions","PG","39","$2,296,274","1.48%","","","","","Non-Bird"
"4","Satoransky                     Tomas Satoransky","SG","34","$2,296,274","1.48%","","","","","Non-Bird"
"5","Napier                     Shabazz Napier","PG","34","$2,296,274","1.48%","","","","","Early Bird"
"6","Lawson                     Ty Lawson","PG","38","$2,296,271","1.48%","","","","","Non-Bird"
"7","Williams                     Johnathan Williams","PF","30","$2,048,494","1.32%","","","","","Two-Way"
"8","Thor                     JT Thor","PF","23","$2,048,494","1.32%","","","","","Two-Way"
"9","Winston                     Cassius Winston","PG","27","$2,048,491","1.32%","","","","","Two-Way"

