"Player (2)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"McGee                   JaVale McGee","C","","","$2,208,856","1.27%","","","","",""
"Prosper                   Olivier-Maxence Prosper","PF","","","$1,002,360","0.58%","","","","",""

