" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Mayo                     O.J. Mayo","SG","27","$8,000,000","12.69%","$8,000,000","$8,000,000","$8,000,000","'-","2016"
"2","Ilyasova                     Ersan Ilyasova","PF","27","$7,900,000","12.53%","$7,900,000","$7,900,000","$7,900,000","'-","2017"
"3","Pachulia                     Zaza Pachulia","C","30","$5,200,000","8.25%","$5,200,000","$5,200,000","$5,200,000","'-","2016"
"4","Parker                     Jabari Parker","PF","19","$4,930,560","7.82%","$4,930,560","$4,930,560","$4,930,560","$4,930,560","2018"
"5","Dudley                     Jared Dudley","SF","29","$4,250,000","6.74%","$4,250,000","$4,250,000","$4,250,000","$4,250,000","2016"
"6","Bayless                     Jerryd Bayless","PG","26","$3,000,000","4.76%","$3,000,000","$3,000,000","$3,000,000","$3,000,000","2016"
"7","Carter-Williams                     Michael Carter-Williams","PG","23","$2,300,040","3.65%","$2,300,040","$2,300,040","$2,300,040","'-","2017"
"8","Henson                     John Henson","PF","24","$1,967,320","3.12%","$1,967,320","$1,967,320","$1,967,320","$1,967,320","2016"
"9","Antetokounmpo                     Giannis Antetokounmpo","SF","20","$1,873,200","2.97%","$1,873,200","$1,873,200","$1,873,200","$1,873,200","2028"
"10","Ennis                     Tyler Ennis","PG","20","$1,590,720","2.52%","$1,590,720","$1,590,720","$1,590,720","'-","2017"
"11","Plumlee                     Miles Plumlee","C","26","$1,169,880","1.86%","$1,169,880","$1,169,880","$1,169,880","$1,169,880","2016"
"12","Middleton                     Khris Middleton","SF","23","$915,243","1.45%","$915,243","$915,243","$915,243","$915,243","2026"
"13","Inglis                     Damien Inglis","SF","19","$820,000","1.30%","$820,000","$820,000","$820,000","'-","2017"
"14","O'Bryant                     Johnny O'Bryant","PF","21","$600,000","0.95%","$600,000","$600,000","$600,000","$600,000","2017"
"15","Gutierrez                     Jorge Gutierrez","PG","26","$43,226","0.07%","$43,226","$43,226","$43,226","'-","2016"
"16","Gooden                     Drew Gooden","PF","33","'-","'-","'-","'-","$6,687,400","'-",""

