"Player (15 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Durant                   Kevin Durant","SF","33","FA","$42,018,900","37.38%","$40,918,900","$1,100,000","'-","'-","$40,918,900"
"Irving                   Kyrie Irving","PG","29","FA","$35,328,700","31.43%","$34,916,200","$412,500","$687,500","'-","$34,916,200"
"Simmons                   Ben Simmons","PG","25","DRK-EXT","$33,003,936","29.36%","$33,003,936","'-","'-","'-","$33,003,936"
"Harris                   Joe Harris","SG","30","FA","$17,357,143","15.44%","$17,357,143","'-","$500,000","'-","$17,357,143"
"Curry                   Seth Curry","SG","31","FA","$8,207,518","7.30%","$8,207,518","'-","'-","'-","$8,207,518"
"Mills                   Patty Mills","PG","33","FA","$5,890,000","5.24%","$5,890,000","'-","'-","'-","$5,890,000"
"Brown Jr.                   Bruce Brown Jr.","SG","25","FA","$4,736,102","4.21%","$4,736,102","'-","'-","'-","$4,736,102"
"Thomas                   Cameron Thomas","SG","20","RK-1ST","$2,036,280","1.81%","$2,036,280","'-","'-","'-","$2,036,280"
"Sharpe                   Day'Ron Sharpe","C","20","RK-1ST","$2,009,160","1.79%","$2,009,160","'-","'-","'-","$2,009,160"
"Claxton                   Nicolas Claxton","C","22","RK","$1,782,621","1.59%","$1,782,621","'-","'-","'-","$1,782,621"
"Drummond                   Andre Drummond","C","28","FA","$1,669,178","1.48%","$2,401,537","'-","'-","'-","$2,401,537"
"Griffin                   Blake Griffin","C","32","FA","$1,669,178","1.48%","$2,641,691","'-","'-","'-","$2,641,691"
"Aldridge                   LaMarcus Aldridge","PF","36","FA","$1,669,178","1.48%","$2,641,691","'-","'-","'-","$2,641,691"
"Dragic                   Goran Dragic","PG","35","ROS","$460,463","0.41%","$728,742","'-","'-","'-","$728,742"
"Edwards                   Kessler Edwards","SF","21","ROS","$5,318","0.00%","$5,318","'-","'-","'-","$9,593"

