" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Stokes                     Jarnell Stokes","PF","22","$845,059","1.21%","$845,059","$845,059","$273,401","'-"
"2","Fredette                     Jimmer Fredette","PG","26","$71,677","0.10%","$71,677","$71,677","$71,677","'-"
"3","Hamilton                     Jordan Hamilton","SF","25","$55,722","0.08%","$55,722","$55,722","$59,731","'-"
"4","Dejean-Jones                     Bryce Dejean-Jones","PG","23","$50,000","0.07%","$50,000","$50,000","$50,000","'-"
"5","Harper                     Justin Harper","SF","26","$49,709","0.07%","$49,709","$49,709","$49,709","'-"
"6","Ennis III                     James Ennis III","SF","25","$49,709","0.07%","$49,709","$49,709","$49,709","$49,709"
"7","Frazier                     Tim Frazier","PG","25","$49,709","0.07%","$49,709","$49,709","$49,709","$49,709"
"8","Dejean-Jones                     Bryce Dejean-Jones","PG","23","$30,888","0.04%","$30,888","$30,888","$30,888","'-"
"9","Dejean-Jones                     Bryce Dejean-Jones","PG","23","$30,888","0.04%","$30,888","$30,888","$30,888","'-"
"10","Robinson                     Nate Robinson","PG","31","$27,861","0.04%","$27,861","$27,861","$44,094","'-"

